GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ScoresPerTurn(ScoresPerTurn),ActionsCount(Pass),ActionsCount(AllocateDice),ActionsCount(RollDice)
1795177401,CantStop,0,GAME_OVER,280,27,4,2,mcts1,1.0,2.0,4.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4.0]",28,120,132
-1554604484,CantStop,0,GAME_OVER,139,15,4,3,mcts1,1.0,1.0,4.0,0.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 4.0]",16,59,64
-1551993714,CantStop,0,GAME_OVER,202,20,4,4,mcts1,2.0,3.0,0.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.0, 2.0, 2.0, 0.0]",21,87,94
487905948,CantStop,0,GAME_OVER,185,17,4,5,mcts1,3.0,1.0,2.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 2.0]",18,81,86
403308421,CantStop,0,GAME_OVER,225,21,4,6,mcts1,3.0,2.0,1.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 2.0, 3.0, 2.0, 1.0]",22,99,104
-2048497684,CantStop,0,GAME_OVER,159,20,4,7,mcts1,2.0,3.0,0.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0]",21,66,72
-1341520697,CantStop,0,GAME_OVER,104,12,4,8,mcts1,0.0,3.0,0.0,0.0,mcts1,mcts1,mcts1,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0]",13,42,49
1110162297,CantStop,0,GAME_OVER,172,21,4,9,mcts1,3.0,0.0,1.0,0.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 3.0, 0.0, 1.0]",22,70,80
577472569,CantStop,0,GAME_OVER,127,12,4,10,mcts1,2.0,3.0,0.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 3.0, 2.0, 1.0, 0.0]",13,55,59
-1900069985,CantStop,0,GAME_OVER,260,25,4,11,mcts1,4.0,2.0,2.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]",26,112,122
1792115564,CantStop,0,GAME_OVER,158,12,4,12,mcts1,0.0,3.0,1.0,1.0,mcts1,mcts1,mcts1,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0]",13,70,75
1936004232,CantStop,0,GAME_OVER,105,8,4,13,mcts1,1.0,3.0,1.0,0.0,mcts1,mcts1,mcts1,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 1.0]",9,48,48
-240196317,CantStop,0,GAME_OVER,137,12,4,14,mcts1,0.0,3.0,2.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 3.0, 0.0, 2.0, 2.0]",13,62,62
1579500829,CantStop,0,GAME_OVER,155,13,4,15,mcts1,3.0,2.0,2.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 3.0, 1.0, 2.0]",14,69,72
-425216352,CantStop,0,GAME_OVER,257,28,4,16,mcts1,1.0,3.0,1.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 2.0, 1.0]",29,107,121
