GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,25,GAME_OVER,51,0,2,503,connect4-64,-1.0,1.0,connect4-64,3,0,8,8,8,0,8,8,8,0,0,0
543675220,Connect4,11,GAME_OVER,23,0,2,504,connect4-64,-1.0,1.0,connect4-64,0,0,3,4,4,4,4,3,1,0,0,0
-1104797416,Connect4,10,GAME_OVER,21,0,2,505,connect4-64,-1.0,1.0,connect4-64,1,0,2,1,7,2,4,2,2,0,0,0
-2122888236,Connect4,29,GAME_OVER,60,1,2,506,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,4,8,8,8,0,0,0
411797902,Connect4,9,GAME_OVER,20,1,2,507,connect4-64,1.0,-1.0,connect4-64,0,0,4,0,4,4,4,3,1,0,0,0
-260340557,Connect4,25,GAME_OVER,52,1,2,508,connect4-64,1.0,-1.0,connect4-64,8,0,8,2,8,8,8,2,8,0,0,0
-2002258810,Connect4,12,GAME_OVER,25,0,2,509,connect4-64,-1.0,1.0,connect4-64,0,0,5,5,6,3,3,2,1,0,0,0
-1736482663,Connect4,24,GAME_OVER,49,0,2,510,connect4-64,-1.0,1.0,connect4-64,4,0,7,4,7,7,8,6,6,0,0,0
-1406371633,Connect4,15,GAME_OVER,31,0,2,511,connect4-64,-1.0,1.0,connect4-64,0,0,5,8,6,4,4,4,0,0,0,0
1385045777,Connect4,25,GAME_OVER,51,0,2,512,connect4-64,-1.0,1.0,connect4-64,8,0,2,8,8,1,8,8,8,0,0,0
-221288584,Connect4,13,GAME_OVER,27,0,2,513,connect4-64,-1.0,1.0,connect4-64,0,0,2,6,3,4,6,6,0,0,0,0
-2050393553,Connect4,16,GAME_OVER,33,0,2,514,connect4-64,-1.0,1.0,connect4-64,0,0,6,7,6,3,6,0,5,0,0,0
1871450781,Connect4,10,GAME_OVER,21,0,2,515,connect4-64,-1.0,1.0,connect4-64,1,0,0,5,4,4,4,1,2,0,0,0
149955400,Connect4,26,GAME_OVER,53,0,2,516,connect4-64,-1.0,1.0,connect4-64,0,0,8,8,8,5,8,8,8,0,0,0
283844994,Connect4,16,GAME_OVER,34,1,2,517,connect4-64,1.0,-1.0,connect4-64,2,0,4,1,7,7,6,3,4,0,0,0
227697819,Connect4,25,GAME_OVER,51,0,2,518,connect4-64,-1.0,1.0,connect4-64,2,0,6,8,8,3,8,8,8,0,0,0
112351290,Connect4,12,GAME_OVER,26,1,2,519,connect4-64,1.0,-1.0,connect4-64,0,0,0,6,5,2,6,5,2,0,0,0
-1425746208,Connect4,26,GAME_OVER,53,0,2,520,connect4-64,-1.0,1.0,connect4-64,8,0,4,8,8,1,8,8,8,0,0,0
-706361041,Connect4,31,GAME_OVER,64,1,2,521,connect4-64,0.0,0.0,connect4-64,8,0,8,8,8,8,8,8,8,0,0,0
2012251409,Connect4,9,GAME_OVER,19,0,2,522,connect4-64,-1.0,1.0,connect4-64,0,0,4,4,4,2,4,1,0,0,0,0
-1515155140,Connect4,13,GAME_OVER,27,0,2,523,connect4-64,-1.0,1.0,connect4-64,0,0,3,7,5,4,4,3,1,0,0,0
-526166552,Connect4,8,GAME_OVER,17,0,2,524,connect4-64,-1.0,1.0,connect4-64,0,0,4,3,2,1,5,1,1,0,0,0
