GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,28,GAME_OVER,57,0,2,2,mcts1,-1.0,1.0,mcts1,6,0,8,8,8,8,3,8,8,0,0,0
543675220,Connect4,22,GAME_OVER,45,0,2,3,mcts1,-1.0,1.0,mcts1,2,0,8,8,8,8,2,1,8,0,0,0
-1104797416,Connect4,11,GAME_OVER,24,1,2,4,mcts1,1.0,-1.0,mcts1,1,0,0,5,6,5,5,0,2,0,0,0
-2122888236,Connect4,13,GAME_OVER,28,1,2,5,mcts1,1.0,-1.0,mcts1,0,0,1,7,5,6,5,4,0,0,0,0
411797902,Connect4,8,GAME_OVER,18,1,2,6,mcts1,1.0,-1.0,mcts1,0,0,0,1,5,4,3,4,1,0,0,0
-260340557,Connect4,23,GAME_OVER,48,1,2,7,mcts1,1.0,-1.0,mcts1,8,0,2,8,8,8,2,6,6,0,0,0
-2002258810,Connect4,28,GAME_OVER,57,0,2,8,mcts1,-1.0,1.0,mcts1,6,0,8,8,8,8,8,3,8,0,0,0
-1736482663,Connect4,25,GAME_OVER,52,1,2,9,mcts1,1.0,-1.0,mcts1,8,0,2,8,8,8,2,8,8,0,0,0
-1406371633,Connect4,28,GAME_OVER,58,1,2,10,mcts1,1.0,-1.0,mcts1,8,0,8,8,8,8,8,2,8,0,0,0
1385045777,Connect4,25,GAME_OVER,51,0,2,11,mcts1,-1.0,1.0,mcts1,3,0,7,5,7,8,8,8,5,0,0,0
-221288584,Connect4,18,GAME_OVER,37,0,2,12,mcts1,-1.0,1.0,mcts1,1,0,1,7,6,7,5,6,4,0,0,0
-2050393553,Connect4,16,GAME_OVER,34,1,2,13,mcts1,1.0,-1.0,mcts1,0,0,5,7,7,7,6,0,2,0,0,0
1871450781,Connect4,20,GAME_OVER,41,0,2,14,mcts1,-1.0,1.0,mcts1,6,0,4,7,7,2,8,7,0,0,0,0
149955400,Connect4,11,GAME_OVER,23,0,2,15,mcts1,-1.0,1.0,mcts1,4,0,4,3,5,4,0,3,0,0,0,0
283844994,Connect4,25,GAME_OVER,52,1,2,16,mcts1,1.0,-1.0,mcts1,8,0,8,2,8,8,2,8,8,0,0,0
227697819,Connect4,21,GAME_OVER,43,0,2,17,mcts1,-1.0,1.0,mcts1,3,0,8,7,1,6,5,5,8,0,0,0
112351290,Connect4,17,GAME_OVER,35,0,2,18,mcts1,-1.0,1.0,mcts1,2,0,4,4,3,7,6,6,3,0,0,0
-1425746208,Connect4,14,GAME_OVER,30,1,2,19,mcts1,1.0,-1.0,mcts1,0,0,4,6,5,6,1,7,1,0,0,0
-706361041,Connect4,25,GAME_OVER,51,0,2,20,mcts1,-1.0,1.0,mcts1,8,0,2,3,8,7,8,8,7,0,0,0
2012251409,Connect4,17,GAME_OVER,35,0,2,21,mcts1,-1.0,1.0,mcts1,6,0,5,3,7,7,5,2,0,0,0,0
-1515155140,Connect4,27,GAME_OVER,56,1,2,22,mcts1,1.0,-1.0,mcts1,8,0,8,8,2,6,8,8,8,0,0,0
-526166552,Connect4,22,GAME_OVER,46,1,2,23,mcts1,1.0,-1.0,mcts1,8,0,1,8,8,8,3,2,8,0,0,0
-653323449,Connect4,20,GAME_OVER,41,0,2,24,mcts1,-1.0,1.0,mcts1,7,0,6,2,8,7,7,4,0,0,0,0
1976988142,Connect4,14,GAME_OVER,29,0,2,25,mcts1,-1.0,1.0,mcts1,1,0,4,3,3,6,6,4,2,0,0,0
-1808714128,Connect4,27,GAME_OVER,55,0,2,26,mcts1,-1.0,1.0,mcts1,4,0,8,8,3,8,8,8,8,0,0,0
-174690807,Connect4,14,GAME_OVER,29,0,2,27,mcts1,-1.0,1.0,mcts1,0,0,7,4,7,6,1,3,1,0,0,0
1355809364,Connect4,26,GAME_OVER,54,1,2,28,mcts1,1.0,-1.0,mcts1,8,0,1,8,8,8,5,8,8,0,0,0
-695036437,Connect4,11,GAME_OVER,24,1,2,29,mcts1,1.0,-1.0,mcts1,0,0,1,0,6,6,5,4,2,0,0,0
-1386141956,Connect4,27,GAME_OVER,55,0,2,30,mcts1,-1.0,1.0,mcts1,8,0,8,1,8,8,8,6,8,0,0,0
181835479,Connect4,13,GAME_OVER,27,0,2,31,mcts1,-1.0,1.0,mcts1,1,0,3,4,6,6,4,2,1,0,0,0
-488301981,Connect4,19,GAME_OVER,39,0,2,32,mcts1,-1.0,1.0,mcts1,0,0,1,7,7,8,7,6,3,0,0,0
