GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,7,GAME_OVER,16,1,2,1505,OSLA,1.0,-1.0,OSLA,2,0,1,1,1,3,2,3,3,0,0,0
543675220,Connect4,4,GAME_OVER,10,1,2,1506,OSLA,1.0,-1.0,OSLA,0,0,0,0,4,4,0,1,1,0,0,0
-1104797416,Connect4,5,GAME_OVER,11,0,2,1507,OSLA,-1.0,1.0,OSLA,1,0,2,1,1,1,3,0,2,0,0,0
-2122888236,Connect4,7,GAME_OVER,15,0,2,1508,OSLA,-1.0,1.0,OSLA,5,0,1,2,3,3,0,0,1,0,0,0
411797902,Connect4,10,GAME_OVER,21,0,2,1509,OSLA,-1.0,1.0,OSLA,3,0,3,5,4,2,1,0,3,0,0,0
-260340557,Connect4,8,GAME_OVER,17,0,2,1510,OSLA,-1.0,1.0,OSLA,5,0,0,1,1,3,2,2,3,0,0,0
-2002258810,Connect4,3,GAME_OVER,8,1,2,1511,OSLA,1.0,-1.0,OSLA,1,0,1,1,1,1,2,1,0,0,0,0
-1736482663,Connect4,8,GAME_OVER,17,0,2,1512,OSLA,-1.0,1.0,OSLA,3,0,2,2,2,1,3,2,2,0,0,0
-1406371633,Connect4,9,GAME_OVER,19,0,2,1513,OSLA,-1.0,1.0,OSLA,3,0,1,5,3,1,1,2,3,0,0,0
1385045777,Connect4,4,GAME_OVER,10,1,2,1514,OSLA,1.0,-1.0,OSLA,1,0,2,3,1,1,1,0,1,0,0,0
-221288584,Connect4,4,GAME_OVER,9,0,2,1515,OSLA,-1.0,1.0,OSLA,0,0,1,1,2,1,1,1,2,0,0,0
-2050393553,Connect4,3,GAME_OVER,7,0,2,1516,OSLA,-1.0,1.0,OSLA,2,0,1,1,1,1,0,0,1,0,0,0
1871450781,Connect4,5,GAME_OVER,11,0,2,1517,OSLA,-1.0,1.0,OSLA,1,0,2,3,1,1,2,0,1,0,0,0
149955400,Connect4,9,GAME_OVER,20,1,2,1518,OSLA,1.0,-1.0,OSLA,6,0,0,4,1,4,1,2,2,0,0,0
283844994,Connect4,5,GAME_OVER,12,1,2,1519,OSLA,1.0,-1.0,OSLA,1,0,1,0,5,1,2,1,1,0,0,0
227697819,Connect4,4,GAME_OVER,10,1,2,1520,OSLA,1.0,-1.0,OSLA,1,0,0,1,0,4,3,0,1,0,0,0
112351290,Connect4,6,GAME_OVER,13,0,2,1521,OSLA,-1.0,1.0,OSLA,1,0,2,4,1,1,1,2,1,0,0,0
-1425746208,Connect4,7,GAME_OVER,15,0,2,1522,OSLA,-1.0,1.0,OSLA,2,0,5,1,2,3,1,0,1,0,0,0
-706361041,Connect4,3,GAME_OVER,7,0,2,1523,OSLA,-1.0,1.0,OSLA,0,0,1,0,0,4,1,0,1,0,0,0
2012251409,Connect4,7,GAME_OVER,15,0,2,1524,OSLA,-1.0,1.0,OSLA,1,0,1,1,6,1,1,3,1,0,0,0
-1515155140,Connect4,3,GAME_OVER,7,0,2,1525,OSLA,-1.0,1.0,OSLA,0,0,1,1,0,1,1,1,2,0,0,0
-526166552,Connect4,10,GAME_OVER,21,0,2,1526,OSLA,-1.0,1.0,OSLA,2,0,2,1,1,0,5,4,6,0,0,0
-653323449,Connect4,3,GAME_OVER,7,0,2,1527,OSLA,-1.0,1.0,OSLA,0,0,3,1,1,1,0,0,1,0,0,0
1976988142,Connect4,8,GAME_OVER,17,0,2,1528,OSLA,-1.0,1.0,OSLA,1,0,2,3,2,2,4,2,1,0,0,0
-1808714128,Connect4,5,GAME_OVER,12,1,2,1529,OSLA,1.0,-1.0,OSLA,3,0,2,0,1,1,1,2,2,0,0,0
-174690807,Connect4,8,GAME_OVER,18,1,2,1530,OSLA,1.0,-1.0,OSLA,1,0,1,1,2,4,4,4,1,0,0,0
1355809364,Connect4,5,GAME_OVER,12,1,2,1531,OSLA,1.0,-1.0,OSLA,0,0,3,0,1,2,2,4,0,0,0,0
-695036437,Connect4,6,GAME_OVER,13,0,2,1532,OSLA,-1.0,1.0,OSLA,1,0,1,2,2,1,1,1,4,0,0,0
-1386141956,Connect4,3,GAME_OVER,8,1,2,1533,OSLA,1.0,-1.0,OSLA,0,0,0,1,3,1,1,1,1,0,0,0
181835479,Connect4,9,GAME_OVER,19,0,2,1534,OSLA,-1.0,1.0,OSLA,4,0,3,2,0,1,0,5,4,0,0,0
-488301981,Connect4,6,GAME_OVER,13,0,2,1535,OSLA,-1.0,1.0,OSLA,1,0,4,1,1,2,1,1,2,0,0,0
734614159,Connect4,11,GAME_OVER,23,0,2,1536,OSLA,-1.0,1.0,OSLA,3,0,0,4,4,3,5,2,2,0,0,0
1196723139,Connect4,11,GAME_OVER,24,1,2,1537,OSLA,1.0,-1.0,OSLA,2,0,5,3,1,4,4,4,1,0,0,0
-1728406678,Connect4,5,GAME_OVER,11,0,2,1538,OSLA,-1.0,1.0,OSLA,1,0,2,1,1,1,2,1,2,0,0,0
320965895,Connect4,7,GAME_OVER,16,1,2,1539,OSLA,1.0,-1.0,OSLA,0,0,0,3,2,3,1,1,6,0,0,0
1472878053,Connect4,10,GAME_OVER,21,0,2,1540,OSLA,-1.0,1.0,OSLA,4,0,4,1,0,1,3,2,6,0,0,0
-1840509684,Connect4,11,GAME_OVER,23,0,2,1541,OSLA,-1.0,1.0,OSLA,1,0,2,3,3,4,1,2,7,0,0,0
-636434131,Connect4,3,GAME_OVER,7,0,2,1542,OSLA,-1.0,1.0,OSLA,0,0,2,2,1,1,0,1,0,0,0,0
2020254114,Connect4,5,GAME_OVER,11,0,2,1543,OSLA,-1.0,1.0,OSLA,0,0,2,1,4,2,2,0,0,0,0,0
318314351,Connect4,6,GAME_OVER,14,1,2,1544,OSLA,1.0,-1.0,OSLA,0,0,2,0,2,2,3,5,0,0,0,0
258293349,Connect4,6,GAME_OVER,13,0,2,1545,OSLA,-1.0,1.0,OSLA,2,0,0,4,1,0,0,2,4,0,0,0
31176693,Connect4,7,GAME_OVER,15,0,2,1546,OSLA,-1.0,1.0,OSLA,2,0,2,4,2,1,1,1,2,0,0,0
348839399,Connect4,6,GAME_OVER,13,0,2,1547,OSLA,-1.0,1.0,OSLA,1,0,2,1,2,1,3,2,1,0,0,0
1946923098,Connect4,9,GAME_OVER,19,0,2,1548,OSLA,-1.0,1.0,OSLA,2,0,3,3,3,2,2,2,2,0,0,0
1904960709,Connect4,7,GAME_OVER,15,0,2,1549,OSLA,-1.0,1.0,OSLA,1,0,1,1,2,5,4,1,0,0,0,0
931856213,Connect4,7,GAME_OVER,16,1,2,1550,OSLA,1.0,-1.0,OSLA,3,0,1,1,5,2,2,2,0,0,0,0
-1653558630,Connect4,3,GAME_OVER,7,0,2,1551,OSLA,-1.0,1.0,OSLA,1,0,1,1,1,1,1,0,1,0,0,0
-1553825038,Connect4,4,GAME_OVER,9,0,2,1552,OSLA,-1.0,1.0,OSLA,2,0,1,1,1,0,3,1,0,0,0,0
-1322517776,Connect4,9,GAME_OVER,19,0,2,1553,OSLA,-1.0,1.0,OSLA,2,0,3,1,3,2,4,2,2,0,0,0
