GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,10,GAME_OVER,22,1,2,2006,random,1.0,-1.0,random,3,0,1,4,4,2,2,2,4,0,0,0
543675220,Connect4,9,GAME_OVER,19,0,2,2007,random,-1.0,1.0,random,3,0,1,5,2,2,2,3,1,0,0,0
-1104797416,Connect4,12,GAME_OVER,25,0,2,2008,random,-1.0,1.0,random,3,0,4,5,1,0,5,4,3,0,0,0
-2122888236,Connect4,6,GAME_OVER,13,0,2,2009,random,-1.0,1.0,random,0,0,2,1,1,1,1,6,1,0,0,0
411797902,Connect4,19,GAME_OVER,39,0,2,2010,random,-1.0,1.0,random,6,0,6,3,3,8,5,4,4,0,0,0
-260340557,Connect4,6,GAME_OVER,14,1,2,2011,random,1.0,-1.0,random,1,0,0,1,2,3,3,2,2,0,0,0
-2002258810,Connect4,8,GAME_OVER,17,0,2,2012,random,-1.0,1.0,random,1,0,2,0,1,1,5,2,5,0,0,0
-1736482663,Connect4,17,GAME_OVER,35,0,2,2013,random,-1.0,1.0,random,2,0,2,4,5,8,3,6,5,0,0,0
-1406371633,Connect4,8,GAME_OVER,17,0,2,2014,random,-1.0,1.0,random,4,0,0,2,0,2,3,2,4,0,0,0
1385045777,Connect4,13,GAME_OVER,27,0,2,2015,random,-1.0,1.0,random,1,0,1,3,5,3,3,8,3,0,0,0
-221288584,Connect4,6,GAME_OVER,13,0,2,2016,random,-1.0,1.0,random,4,0,2,1,1,2,1,1,1,0,0,0
-2050393553,Connect4,10,GAME_OVER,22,1,2,2017,random,1.0,-1.0,random,4,0,2,1,1,2,2,4,6,0,0,0
1871450781,Connect4,4,GAME_OVER,9,0,2,2018,random,-1.0,1.0,random,0,0,1,0,0,4,2,2,0,0,0,0
149955400,Connect4,9,GAME_OVER,19,0,2,2019,random,-1.0,1.0,random,4,0,3,2,2,2,1,0,5,0,0,0
283844994,Connect4,8,GAME_OVER,18,1,2,2020,random,1.0,-1.0,random,4,0,3,2,1,3,0,3,2,0,0,0
227697819,Connect4,6,GAME_OVER,13,0,2,2021,random,-1.0,1.0,random,2,0,2,2,1,2,1,2,1,0,0,0
112351290,Connect4,9,GAME_OVER,19,0,2,2022,random,-1.0,1.0,random,5,0,1,4,3,2,3,0,1,0,0,0
-1425746208,Connect4,16,GAME_OVER,33,0,2,2023,random,-1.0,1.0,random,5,0,8,5,1,4,5,1,4,0,0,0
-706361041,Connect4,12,GAME_OVER,26,1,2,2024,random,1.0,-1.0,random,7,0,1,2,5,2,2,6,1,0,0,0
2012251409,Connect4,13,GAME_OVER,27,0,2,2025,random,-1.0,1.0,random,0,0,5,2,8,5,4,1,2,0,0,0
-1515155140,Connect4,3,GAME_OVER,7,0,2,2026,random,-1.0,1.0,random,0,0,1,0,1,1,3,1,0,0,0,0
-526166552,Connect4,10,GAME_OVER,21,0,2,2027,random,-1.0,1.0,random,2,0,1,3,4,1,2,4,4,0,0,0
-653323449,Connect4,13,GAME_OVER,27,0,2,2028,random,-1.0,1.0,random,4,0,4,1,3,4,4,4,3,0,0,0
1976988142,Connect4,9,GAME_OVER,19,0,2,2029,random,-1.0,1.0,random,1,0,2,1,2,3,2,4,4,0,0,0
-1808714128,Connect4,6,GAME_OVER,14,1,2,2030,random,1.0,-1.0,random,0,0,6,2,0,1,2,2,1,0,0,0
-174690807,Connect4,6,GAME_OVER,13,0,2,2031,random,-1.0,1.0,random,1,0,2,2,1,0,2,2,3,0,0,0
1355809364,Connect4,5,GAME_OVER,11,0,2,2032,random,-1.0,1.0,random,2,0,1,1,1,1,2,1,2,0,0,0
-695036437,Connect4,11,GAME_OVER,24,1,2,2033,random,1.0,-1.0,random,3,0,3,2,3,4,2,3,4,0,0,0
-1386141956,Connect4,15,GAME_OVER,31,0,2,2034,random,-1.0,1.0,random,3,0,3,7,3,4,5,3,3,0,0,0
181835479,Connect4,5,GAME_OVER,12,1,2,2035,random,1.0,-1.0,random,1,0,1,2,1,4,1,2,0,0,0,0
-488301981,Connect4,11,GAME_OVER,23,0,2,2036,random,-1.0,1.0,random,2,0,6,3,2,1,3,2,4,0,0,0
734614159,Connect4,5,GAME_OVER,11,0,2,2037,random,-1.0,1.0,random,1,0,4,0,2,1,0,1,2,0,0,0
1196723139,Connect4,13,GAME_OVER,28,1,2,2038,random,1.0,-1.0,random,6,0,2,2,6,3,2,5,2,0,0,0
-1728406678,Connect4,13,GAME_OVER,27,0,2,2039,random,-1.0,1.0,random,1,0,2,5,3,3,7,2,4,0,0,0
320965895,Connect4,16,GAME_OVER,34,1,2,2040,random,1.0,-1.0,random,5,0,2,6,3,8,3,3,4,0,0,0
1472878053,Connect4,14,GAME_OVER,30,1,2,2041,random,1.0,-1.0,random,6,0,3,7,0,1,5,4,4,0,0,0
-1840509684,Connect4,5,GAME_OVER,12,1,2,2042,random,1.0,-1.0,random,2,0,2,1,4,1,1,1,0,0,0,0
-636434131,Connect4,8,GAME_OVER,18,1,2,2043,random,1.0,-1.0,random,2,0,3,2,2,3,1,3,2,0,0,0
2020254114,Connect4,8,GAME_OVER,17,0,2,2044,random,-1.0,1.0,random,0,0,2,2,3,4,1,3,2,0,0,0
318314351,Connect4,19,GAME_OVER,39,0,2,2045,random,-1.0,1.0,random,5,0,4,5,8,4,3,4,6,0,0,0
258293349,Connect4,5,GAME_OVER,11,0,2,2046,random,-1.0,1.0,random,1,0,4,2,0,1,1,1,1,0,0,0
