GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),GameParams(winCount),GameParams(gridSize),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,30,GAME_OVER,61,0,2,3008,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,7,8,8,6,8,0,0,0
543675220,Connect4,31,GAME_OVER,64,1,2,3009,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1104797416,Connect4,31,GAME_OVER,64,1,2,3010,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-2122888236,Connect4,30,GAME_OVER,61,0,2,3011,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,5,8,8,0,0,0
411797902,Connect4,30,GAME_OVER,62,1,2,3012,connect4-32,1.0,-1.0,connect4-32,6,8,6,0,8,8,8,8,8,8,8,0,0,0
-260340557,Connect4,31,GAME_OVER,64,1,2,3013,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-2002258810,Connect4,27,GAME_OVER,56,1,2,3014,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,4,8,8,8,5,7,0,0,0
-1736482663,Connect4,28,GAME_OVER,58,1,2,3015,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,7,8,8,8,4,8,7,0,0,0
-1406371633,Connect4,31,GAME_OVER,64,1,2,3016,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1385045777,Connect4,30,GAME_OVER,61,0,2,3017,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,5,8,8,0,0,0
