GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
1024990892,Dominion,24,GAME_OVER,220,0,4,2,mcts1,16.0,12.0,18.0,14.0,mcts1,mcts1,mcts1,6,30,10,0,28,10,17,6,8,8,1,0,10,7,12,0,3,0,0,12,0,0,47,"[3.0, 4.0, 6.0, 4.0, 4.0, 5.0, 7.0, 5.0, 5.0, 6.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 10.0, 11.0, 9.0, 6.0, 10.0, 11.0, 9.0, 6.0, 10.0, 11.0, 9.0, 6.0, 10.0, 11.0, 12.0, 9.0, 10.0, 11.0, 12.0, 9.0, 13.0, 11.0, 12.0, 9.0, 13.0, 11.0, 12.0, 9.0, 13.0, 11.0, 12.0, 9.0, 13.0, 11.0, 15.0, 12.0, 13.0, 14.0, 15.0, 12.0, 13.0, 14.0, 15.0, 12.0, 16.0, 14.0, 18.0, 12.0, 16.0, 14.0, 18.0, 12.0, 16.0, 14.0, 18.0, 12.0, 16.0, 14.0, 18.0, 12.0, 16.0, 14.0, 18.0, 12.0, 16.0, 14.0, 18.0, 12.0, 16.0, 14.0, 18.0]"
1542999819,Dominion,27,GAME_OVER,244,2,4,3,mcts1,18.0,12.0,18.0,12.0,mcts1,mcts1,mcts1,8,30,10,0,24,9,9,7,8,4,0,4,9,7,12,0,3,0,0,15,0,0,31,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 12.0, 9.0, 12.0, 9.0, 12.0, 9.0, 12.0, 9.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 15.0, 12.0, 12.0, 12.0, 15.0, 12.0, 15.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0, 12.0, 18.0]"
-1580811206,Dominion,30,GAME_OVER,319,2,4,4,mcts1,18.0,12.0,12.0,18.0,mcts1,mcts1,mcts1,5,29,9,0,24,9,12,5,7,5,0,3,8,6,12,0,3,0,1,31,1,1,46,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 9.0, 9.0, 12.0, 6.0, 9.0, 9.0, 15.0, 9.0, 9.0, 9.0, 15.0, 9.0, 12.0, 9.0, 15.0, 12.0, 12.0, 9.0, 15.0, 15.0, 12.0, 9.0, 18.0, 15.0, 12.0, 9.0, 18.0, 15.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0]"
1406318947,Dominion,28,GAME_OVER,301,1,4,5,mcts1,12.0,19.0,12.0,17.0,mcts1,mcts1,mcts1,5,30,9,0,31,10,10,4,6,6,2,0,10,7,12,0,3,4,9,17,0,1,24,"[4.0, 4.0, 6.0, 4.0, 5.0, 5.0, 7.0, 5.0, 6.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 9.0, 8.0, 6.0, 7.0, 9.0, 8.0, 6.0, 7.0, 9.0, 8.0, 6.0, 7.0, 9.0, 8.0, 6.0, 7.0, 9.0, 8.0, 6.0, 7.0, 9.0, 11.0, 6.0, 10.0, 9.0, 11.0, 6.0, 13.0, 9.0, 11.0, 6.0, 16.0, 9.0, 11.0, 6.0, 16.0, 9.0, 14.0, 6.0, 16.0, 9.0, 14.0, 9.0, 16.0, 9.0, 17.0, 9.0, 16.0, 9.0, 17.0, 12.0, 16.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0, 19.0, 12.0, 17.0, 12.0]"
1570671794,Dominion,22,GAME_OVER,239,3,4,6,mcts1,12.0,10.0,15.0,23.0,mcts1,mcts1,mcts1,7,30,10,0,24,9,20,5,9,8,0,2,10,7,12,0,3,3,6,10,0,0,15,"[4.0, 4.0, 6.0, 4.0, 5.0, 5.0, 7.0, 5.0, 6.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 6.0, 11.0, 6.0, 10.0, 6.0, 14.0, 6.0, 10.0, 6.0, 17.0, 6.0, 10.0, 6.0, 17.0, 9.0, 10.0, 6.0, 17.0, 9.0, 10.0, 6.0, 20.0, 9.0, 10.0, 6.0, 20.0, 9.0, 10.0, 6.0, 23.0, 12.0, 10.0, 6.0, 23.0, 12.0, 10.0, 9.0, 23.0, 12.0, 10.0, 12.0, 23.0, 12.0, 10.0, 12.0, 23.0, 15.0, 10.0, 12.0, 23.0, 15.0, 10.0, 12.0, 23.0, 15.0, 10.0, 12.0, 23.0, 15.0]"
540082064,Dominion,31,GAME_OVER,322,2,4,7,mcts1,18.0,18.0,12.0,12.0,mcts1,mcts1,mcts1,6,30,10,0,22,7,9,5,8,4,0,1,8,6,12,0,3,2,4,23,2,0,41,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 12.0, 9.0, 9.0, 12.0, 12.0, 9.0, 9.0, 12.0, 12.0, 9.0, 12.0, 12.0, 15.0, 12.0, 12.0, 12.0, 18.0, 15.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0, 18.0, 18.0, 12.0, 12.0]"
-991337134,Dominion,32,GAME_OVER,374,0,4,8,mcts1,14.0,22.0,9.0,15.0,mcts1,mcts1,mcts1,4,30,10,0,26,10,7,5,3,4,3,0,10,8,12,0,3,9,18,20,0,0,15,"[4.0, 6.0, 4.0, 4.0, 5.0, 7.0, 5.0, 5.0, 6.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 9.0, 9.0, 7.0, 8.0, 9.0, 9.0, 7.0, 8.0, 9.0, 9.0, 7.0, 11.0, 9.0, 9.0, 7.0, 11.0, 9.0, 9.0, 7.0, 14.0, 9.0, 9.0, 10.0, 14.0, 9.0, 9.0, 10.0, 14.0, 12.0, 9.0, 10.0, 14.0, 12.0, 9.0, 10.0, 14.0, 12.0, 9.0, 13.0, 14.0, 12.0, 9.0, 13.0, 14.0, 15.0, 9.0, 13.0, 14.0, 15.0, 9.0, 13.0, 14.0, 15.0, 9.0, 13.0, 14.0, 15.0, 9.0, 16.0, 14.0, 15.0, 9.0, 16.0, 14.0, 15.0, 9.0, 19.0, 14.0, 15.0, 9.0, 19.0, 14.0, 15.0, 9.0, 19.0, 14.0, 15.0, 9.0, 19.0, 14.0, 15.0, 9.0, 22.0, 14.0, 15.0, 9.0, 22.0, 14.0, 15.0, 9.0, 22.0, 14.0, 15.0, 9.0, 22.0, 14.0, 15.0, 9.0, 22.0, 14.0, 15.0, 9.0, 22.0, 14.0, 15.0, 9.0]"
183585184,Dominion,28,GAME_OVER,306,0,4,9,mcts1,17.0,10.0,12.0,21.0,mcts1,mcts1,mcts1,4,30,9,0,28,9,10,4,4,9,0,3,9,10,12,0,3,8,16,14,0,0,14,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 5.0, 6.0, 6.0, 7.0, 5.0, 6.0, 6.0, 7.0, 5.0, 6.0, 9.0, 7.0, 5.0, 6.0, 9.0, 7.0, 5.0, 6.0, 9.0, 7.0, 5.0, 6.0, 9.0, 7.0, 8.0, 6.0, 9.0, 7.0, 8.0, 9.0, 12.0, 7.0, 8.0, 9.0, 12.0, 7.0, 11.0, 9.0, 12.0, 7.0, 11.0, 12.0, 12.0, 7.0, 11.0, 12.0, 12.0, 7.0, 11.0, 12.0, 12.0, 7.0, 14.0, 12.0, 12.0, 7.0, 14.0, 15.0, 12.0, 7.0, 14.0, 15.0, 12.0, 7.0, 14.0, 18.0, 12.0, 7.0, 14.0, 18.0, 12.0, 7.0, 17.0, 18.0, 12.0, 10.0, 17.0, 18.0, 12.0, 10.0, 17.0, 18.0, 12.0, 10.0, 17.0, 18.0, 12.0, 10.0, 17.0, 21.0, 12.0, 10.0, 17.0, 21.0, 12.0, 10.0, 17.0, 21.0, 12.0, 10.0, 17.0, 21.0, 12.0, 10.0, 17.0, 21.0, 12.0]"
2130877785,Dominion,18,GAME_OVER,158,2,4,10,mcts1,15.0,12.0,15.0,18.0,mcts1,mcts1,mcts1,8,30,10,0,32,10,16,8,10,8,0,8,10,9,12,0,3,0,0,3,0,0,29,"[4.0, 4.0, 4.0, 4.0, 7.0, 5.0, 5.0, 5.0, 8.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 12.0, 9.0, 9.0, 9.0, 12.0, 9.0, 9.0, 9.0, 12.0, 9.0, 9.0, 9.0, 12.0, 9.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 15.0, 12.0, 12.0, 15.0, 15.0, 12.0, 15.0, 15.0, 15.0, 12.0, 15.0, 15.0, 15.0, 12.0, 15.0, 15.0, 15.0, 12.0, 15.0, 18.0, 15.0]"
24662136,Dominion,22,GAME_OVER,236,1,4,11,mcts1,15.0,16.0,12.0,17.0,mcts1,mcts1,mcts1,8,30,10,0,28,9,23,6,5,10,0,2,10,8,12,0,3,7,14,3,0,0,19,"[4.0, 4.0, 3.0, 4.0, 5.0, 5.0, 4.0, 5.0, 6.0, 6.0, 5.0, 6.0, 7.0, 6.0, 5.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 11.0, 6.0, 7.0, 6.0, 11.0, 6.0, 7.0, 9.0, 11.0, 6.0, 10.0, 9.0, 11.0, 6.0, 10.0, 9.0, 11.0, 6.0, 10.0, 12.0, 11.0, 6.0, 10.0, 12.0, 11.0, 6.0, 10.0, 12.0, 11.0, 9.0, 10.0, 12.0, 11.0, 9.0, 13.0, 12.0, 11.0, 9.0, 13.0, 12.0, 14.0, 9.0, 13.0, 12.0, 14.0, 12.0, 13.0, 12.0, 17.0, 12.0, 13.0, 12.0, 17.0, 12.0, 13.0, 12.0, 17.0, 12.0, 16.0, 12.0, 17.0, 12.0, 16.0, 15.0, 17.0, 12.0]"
