GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
1024990892,Dominion,23,GAME_OVER,268,2,4,1004,dominion-4P-128,25.0,21.0,36.0,32.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,9,21,10,0,20,9,28,7,4,8,0,10,10,7,3,0,3,13,26,10,1,0,27,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 6.0, 6.0, 7.0, 3.0, 9.0, 6.0, 7.0, 3.0, 9.0, 9.0, 7.0, 3.0, 9.0, 9.0, 10.0, 3.0, 12.0, 12.0, 10.0, 9.0, 13.0, 12.0, 11.0, 12.0, 13.0, 12.0, 14.0, 12.0, 14.0, 12.0, 17.0, 12.0, 17.0, 12.0, 17.0, 18.0, 17.0, 12.0, 18.0, 18.0, 17.0, 12.0, 18.0, 18.0, 18.0, 18.0, 24.0, 18.0, 18.0, 18.0, 25.0, 18.0, 20.0, 18.0, 25.0, 18.0, 21.0, 19.0, 31.0, 24.0, 21.0, 25.0, 32.0, 30.0, 21.0, 25.0, 32.0, 30.0, 21.0, 25.0, 32.0, 36.0, 21.0, 25.0, 32.0, 36.0, 21.0, 25.0, 32.0, 36.0]"
1542999819,Dominion,26,GAME_OVER,288,2,4,1005,dominion-4P-128,50.0,24.0,37.0,15.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,10,17,9,0,24,7,25,5,8,7,8,0,9,5,1,0,3,5,13,15,2,3,36,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 3.0, 6.0, 3.0, 6.0, 3.0, 6.0, 3.0, 6.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 9.0, 6.0, 7.0, 9.0, 10.0, 6.0, 7.0, 9.0, 10.0, 6.0, 10.0, 9.0, 10.0, 6.0, 10.0, 15.0, 10.0, 12.0, 10.0, 18.0, 10.0, 12.0, 11.0, 18.0, 10.0, 13.0, 11.0, 18.0, 10.0, 13.0, 11.0, 21.0, 10.0, 19.0, 11.0, 21.0, 10.0, 22.0, 12.0, 21.0, 16.0, 22.0, 12.0, 27.0, 16.0, 28.0, 12.0, 27.0, 16.0, 34.0, 13.0, 30.0, 16.0, 34.0, 14.0, 30.0, 17.0, 37.0, 14.0, 30.0, 17.0, 37.0, 14.0, 30.0, 18.0, 43.0, 15.0, 31.0, 24.0, 44.0, 15.0, 37.0, 24.0, 50.0, 15.0, 37.0, 24.0, 50.0, 15.0, 37.0, 24.0, 50.0, 15.0, 37.0]"
-1580811206,Dominion,26,GAME_OVER,305,1,4,1006,dominion-4P-128,28.0,29.0,28.0,35.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,5,20,9,0,14,9,28,6,0,7,9,10,10,3,2,0,3,16,34,5,0,2,43,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 6.0, 3.0, 6.0, 6.0, 6.0, 3.0, 6.0, 6.0, 6.0, 3.0, 6.0, 6.0, 9.0, 3.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 15.0, 9.0, 6.0, 6.0, 16.0, 15.0, 6.0, 12.0, 19.0, 15.0, 9.0, 12.0, 19.0, 15.0, 9.0, 15.0, 19.0, 15.0, 9.0, 15.0, 22.0, 18.0, 9.0, 15.0, 22.0, 21.0, 9.0, 16.0, 23.0, 27.0, 9.0, 16.0, 23.0, 27.0, 9.0, 16.0, 24.0, 28.0, 9.0, 16.0, 25.0, 28.0, 9.0, 16.0, 25.0, 28.0, 15.0, 17.0, 27.0, 28.0, 16.0, 17.0, 28.0, 29.0, 16.0, 17.0, 28.0, 29.0, 16.0, 17.0, 28.0, 29.0, 22.0, 17.0, 28.0, 29.0, 28.0, 23.0, 28.0, 35.0, 28.0, 29.0, 28.0, 35.0, 28.0]"
1406318947,Dominion,17,GAME_OVER,180,0,4,1007,dominion-4P-128,33.0,34.0,30.0,25.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,10,19,9,1,25,9,32,10,5,10,7,10,10,6,0,7,1,7,15,1,0,1,29,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 12.0, 9.0, 3.0, 3.0, 12.0, 9.0, 3.0, 3.0, 12.0, 9.0, 3.0, 3.0, 12.0, 9.0, 3.0, 9.0, 12.0, 9.0, 9.0, 9.0, 18.0, 12.0, 12.0, 15.0, 20.0, 15.0, 18.0, 21.0, 23.0, 18.0, 21.0, 22.0, 29.0, 24.0, 24.0, 22.0, 30.0, 24.0, 27.0, 28.0, 33.0, 25.0, 30.0, 34.0, 33.0, 25.0, 30.0]"
1570671794,Dominion,24,GAME_OVER,302,1,4,1008,dominion-4P-128,24.0,17.0,34.0,15.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,9,20,9,0,25,10,23,6,5,8,0,7,9,10,7,0,3,16,36,5,1,4,14,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 3.0, 7.0, 7.0, 3.0, 6.0, 7.0, 7.0, 6.0, 9.0, 8.0, 7.0, 7.0, 9.0, 11.0, 7.0, 7.0, 9.0, 12.0, 7.0, 10.0, 9.0, 15.0, 8.0, 13.0, 12.0, 15.0, 8.0, 14.0, 15.0, 16.0, 11.0, 15.0, 15.0, 16.0, 11.0, 15.0, 15.0, 16.0, 12.0, 15.0, 22.0, 17.0, 12.0, 15.0, 22.0, 17.0, 12.0, 15.0, 22.0, 17.0, 18.0, 15.0, 22.0, 17.0, 18.0, 15.0, 22.0, 17.0, 18.0, 15.0, 28.0, 17.0, 18.0, 15.0, 28.0, 17.0, 18.0, 15.0, 34.0, 17.0, 18.0, 15.0, 34.0, 17.0, 18.0, 15.0, 34.0, 17.0, 24.0, 15.0, 34.0, 17.0, 24.0, 15.0, 34.0]"
540082064,Dominion,22,GAME_OVER,271,2,4,1009,dominion-4P-128,38.0,17.0,22.0,25.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,8,24,10,0,18,6,28,10,4,10,0,9,10,8,5,0,3,21,42,0,2,0,16,"[3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 3.0, 7.0, 9.0, 4.0, 6.0, 8.0, 12.0, 5.0, 6.0, 11.0, 12.0, 8.0, 7.0, 11.0, 18.0, 8.0, 7.0, 14.0, 18.0, 11.0, 13.0, 15.0, 18.0, 11.0, 16.0, 15.0, 19.0, 11.0, 19.0, 15.0, 22.0, 12.0, 19.0, 16.0, 25.0, 18.0, 22.0, 16.0, 31.0, 19.0, 22.0, 16.0, 31.0, 25.0, 22.0, 17.0, 32.0, 25.0, 22.0, 17.0, 32.0, 25.0, 22.0, 17.0, 38.0, 25.0, 22.0, 17.0, 38.0, 25.0, 22.0]"
-991337134,Dominion,18,GAME_OVER,217,1,4,1010,dominion-4P-128,19.0,18.0,19.0,16.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,10,26,10,0,26,10,24,10,0,9,8,7,10,8,10,0,3,12,24,1,0,0,31,"[3.0, 6.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 6.0, 6.0, 6.0, 3.0, 9.0, 6.0, 6.0, 3.0, 9.0, 9.0, 7.0, 3.0, 12.0, 10.0, 7.0, 3.0, 12.0, 10.0, 10.0, 9.0, 15.0, 13.0, 10.0, 9.0, 15.0, 14.0, 11.0, 9.0, 15.0, 14.0, 14.0, 12.0, 15.0, 17.0, 14.0, 12.0, 16.0, 18.0, 14.0, 12.0, 17.0, 18.0, 15.0, 12.0, 17.0, 18.0, 16.0, 13.0, 18.0, 19.0, 16.0, 13.0, 18.0, 19.0, 16.0, 19.0, 18.0, 19.0, 16.0, 19.0, 18.0, 19.0, 16.0, 19.0]"
183585184,Dominion,21,GAME_OVER,259,0,4,1011,dominion-4P-128,24.0,23.0,48.0,13.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,6,24,9,8,27,9,20,4,5,8,7,7,10,8,0,0,2,9,21,13,2,3,25,"[3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 3.0, 6.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 3.0, 7.0, 9.0, 4.0, 3.0, 7.0, 15.0, 7.0, 3.0, 7.0, 15.0, 8.0, 3.0, 8.0, 15.0, 9.0, 9.0, 8.0, 21.0, 10.0, 9.0, 9.0, 21.0, 10.0, 15.0, 9.0, 27.0, 11.0, 15.0, 10.0, 27.0, 11.0, 15.0, 10.0, 33.0, 17.0, 21.0, 10.0, 33.0, 17.0, 21.0, 10.0, 39.0, 17.0, 24.0, 10.0, 39.0, 17.0, 24.0, 13.0, 42.0, 17.0, 24.0, 13.0, 42.0, 17.0, 24.0, 13.0, 48.0, 23.0, 24.0, 13.0, 48.0]"
2130877785,Dominion,19,GAME_OVER,274,0,4,1012,dominion-4P-128,17.0,12.0,14.0,17.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,9,29,10,0,25,10,24,8,3,10,6,0,10,9,12,0,3,19,38,7,0,0,4,"[3.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 6.0, 3.0, 6.0, 3.0, 7.0, 6.0, 6.0, 3.0, 8.0, 6.0, 6.0, 3.0, 9.0, 7.0, 9.0, 6.0, 9.0, 10.0, 9.0, 9.0, 9.0, 13.0, 12.0, 10.0, 10.0, 13.0, 13.0, 13.0, 11.0, 14.0, 16.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0, 12.0, 17.0, 17.0, 14.0]"
24662136,Dominion,25,GAME_OVER,308,1,4,1013,dominion-4P-128,25.0,31.0,21.0,31.0,dominion-4P-128,dominion-4P-128,dominion-4P-128,8,21,10,0,22,9,26,10,4,9,0,6,9,8,4,0,3,18,36,4,0,0,33,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 9.0, 3.0, 3.0, 6.0, 9.0, 3.0, 3.0, 6.0, 9.0, 3.0, 3.0, 9.0, 12.0, 3.0, 3.0, 10.0, 12.0, 3.0, 3.0, 13.0, 18.0, 3.0, 9.0, 13.0, 18.0, 3.0, 9.0, 16.0, 21.0, 3.0, 15.0, 16.0, 21.0, 3.0, 18.0, 16.0, 24.0, 6.0, 18.0, 16.0, 27.0, 6.0, 24.0, 16.0, 27.0, 12.0, 24.0, 16.0, 27.0, 12.0, 24.0, 16.0, 27.0, 12.0, 25.0, 16.0, 27.0, 18.0, 25.0, 16.0, 27.0, 18.0, 31.0, 17.0, 27.0, 18.0, 31.0, 17.0, 28.0, 18.0, 31.0, 18.0, 29.0, 19.0, 31.0, 19.0, 30.0, 25.0, 31.0, 20.0, 30.0, 25.0, 31.0, 21.0, 31.0, 25.0, 31.0, 21.0]"
