GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
326333671,Dominion,21,GAME_OVER,209,1,4,503,OSLA,12.0,9.0,9.0,9.0,OSLA,OSLA,OSLA,4,30,10,7,33,9,17,8,9,6,0,0,10,9,12,0,3,0,0,20,1,0,24,"[6.0, 4.0, 4.0, 4.0, 7.0, 5.0, 5.0, 5.0, 8.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 12.0, 9.0, 9.0, 9.0, 12.0, 9.0, 9.0]"
575542767,Dominion,21,GAME_OVER,236,3,4,504,OSLA,6.0,6.0,9.0,9.0,OSLA,OSLA,OSLA,4,30,10,10,39,8,14,4,10,0,0,1,10,7,12,0,3,0,0,38,1,0,47,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0]"
-1000293791,Dominion,25,GAME_OVER,261,1,4,505,OSLA,15.0,7.0,9.0,14.0,OSLA,OSLA,OSLA,7,30,10,5,32,10,15,6,7,5,0,0,10,9,12,0,3,4,8,14,0,0,17,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 7.0, 5.0, 6.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 11.0, 6.0, 7.0, 9.0, 11.0, 6.0, 7.0, 9.0, 11.0, 6.0, 7.0, 9.0, 11.0, 6.0, 7.0, 9.0, 11.0, 6.0, 7.0, 12.0, 11.0, 6.0, 7.0, 12.0, 11.0, 6.0, 7.0, 12.0, 11.0, 6.0, 7.0, 15.0, 11.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0, 7.0, 15.0, 14.0, 9.0]"
1366490922,Dominion,23,GAME_OVER,242,0,4,506,OSLA,7.0,9.0,8.0,6.0,OSLA,OSLA,OSLA,2,30,10,10,35,7,14,0,6,7,0,2,10,10,12,0,3,0,0,19,3,0,26,"[4.0, 4.0, 4.0, 6.0, 7.0, 5.0, 5.0, 7.0, 8.0, 6.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0, 9.0, 7.0, 6.0, 8.0]"
-100645467,Dominion,28,GAME_OVER,321,0,4,507,OSLA,9.0,21.0,9.0,9.0,OSLA,OSLA,OSLA,4,30,10,6,34,7,7,4,5,7,0,0,10,7,11,0,3,4,8,20,5,0,17,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 9.0, 9.0, 9.0, 6.0, 12.0, 9.0, 9.0, 6.0, 12.0, 9.0, 9.0, 6.0, 15.0, 9.0, 9.0, 6.0, 21.0, 9.0, 9.0, 6.0, 21.0, 9.0, 9.0, 9.0, 21.0, 9.0, 9.0, 9.0, 21.0, 9.0, 9.0, 9.0]"
1856804744,Dominion,28,GAME_OVER,318,1,4,508,OSLA,17.0,10.0,9.0,12.0,OSLA,OSLA,OSLA,8,30,10,4,38,6,0,3,7,6,2,0,10,7,12,0,3,1,2,28,0,0,41,"[6.0, 6.0, 4.0, 4.0, 7.0, 7.0, 5.0, 7.0, 8.0, 8.0, 6.0, 8.0, 9.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 8.0, 6.0, 9.0, 10.0, 11.0, 6.0, 9.0, 10.0, 11.0, 9.0, 9.0, 10.0, 11.0, 9.0, 9.0, 10.0, 11.0, 12.0, 9.0, 10.0, 11.0, 12.0, 9.0, 10.0, 14.0, 12.0, 9.0, 10.0, 14.0, 12.0, 9.0, 10.0, 17.0, 12.0, 9.0, 10.0, 17.0, 12.0, 9.0, 10.0, 17.0, 12.0, 9.0]"
-642739628,Dominion,28,GAME_OVER,325,0,4,509,OSLA,15.0,16.0,6.0,11.0,OSLA,OSLA,OSLA,7,30,10,4,34,8,10,2,8,6,0,0,10,7,12,0,3,3,6,39,4,0,41,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 7.0, 5.0, 6.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 9.0, 8.0, 6.0, 10.0, 9.0, 8.0, 6.0, 10.0, 9.0, 8.0, 6.0, 13.0, 9.0, 8.0, 6.0, 13.0, 9.0, 8.0, 6.0, 13.0, 9.0, 8.0, 6.0, 16.0, 12.0, 8.0, 6.0, 16.0, 12.0, 8.0, 6.0, 16.0, 12.0, 8.0, 6.0, 16.0, 12.0, 8.0, 6.0, 16.0, 12.0, 8.0, 6.0, 16.0, 12.0, 11.0, 6.0, 16.0, 12.0, 11.0, 6.0, 16.0, 15.0, 11.0, 6.0, 16.0, 15.0, 11.0, 6.0, 16.0, 15.0, 11.0, 6.0, 16.0, 15.0, 11.0, 6.0, 16.0, 15.0, 11.0, 6.0]"
-1763717981,Dominion,15,GAME_OVER,149,1,4,510,OSLA,9.0,6.0,6.0,6.0,OSLA,OSLA,OSLA,7,30,10,11,39,7,26,7,9,6,0,0,10,9,12,0,3,0,0,10,4,0,18,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0]"
1632357685,Dominion,18,GAME_OVER,175,1,4,511,OSLA,12.0,6.0,6.0,12.0,OSLA,OSLA,OSLA,7,30,10,8,37,9,16,9,10,4,0,0,10,10,12,0,3,0,0,10,0,0,12,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 12.0, 6.0, 6.0, 12.0, 12.0, 6.0, 6.0, 12.0, 12.0, 6.0, 6.0, 12.0, 12.0, 6.0, 6.0, 12.0, 12.0, 6.0, 6.0, 12.0, 12.0, 6.0]"
550466984,Dominion,21,GAME_OVER,214,3,4,512,OSLA,9.0,7.0,12.0,8.0,OSLA,OSLA,OSLA,7,30,10,8,37,9,18,3,10,6,0,0,10,10,12,0,3,0,0,22,0,0,29,"[4.0, 4.0, 6.0, 4.0, 5.0, 5.0, 7.0, 5.0, 6.0, 6.0, 8.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 9.0, 8.0, 6.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 9.0, 8.0, 12.0, 7.0, 9.0, 8.0, 12.0]"
642698332,Dominion,16,GAME_OVER,144,1,4,513,OSLA,11.0,7.0,6.0,6.0,OSLA,OSLA,OSLA,7,30,10,10,38,9,26,9,9,8,0,0,10,8,12,0,3,0,0,2,2,0,16,"[4.0, 6.0, 4.0, 4.0, 5.0, 7.0, 5.0, 5.0, 6.0, 8.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0, 7.0, 11.0, 6.0, 6.0]"
1433969353,Dominion,23,GAME_OVER,247,2,4,514,OSLA,11.0,7.0,12.0,15.0,OSLA,OSLA,OSLA,8,30,10,5,35,9,13,5,10,6,0,0,10,9,12,0,3,0,0,23,2,0,30,"[4.0, 6.0, 4.0, 4.0, 5.0, 7.0, 5.0, 5.0, 6.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 9.0, 6.0, 7.0, 8.0, 9.0, 6.0, 7.0, 8.0, 9.0, 6.0, 7.0, 8.0, 9.0, 6.0, 7.0, 8.0, 9.0, 6.0, 7.0, 8.0, 12.0, 6.0, 7.0, 8.0, 12.0, 6.0, 7.0, 8.0, 12.0, 6.0, 7.0, 8.0, 12.0, 9.0, 7.0, 8.0, 12.0, 9.0, 7.0, 8.0, 12.0, 12.0, 7.0, 8.0, 12.0, 12.0, 7.0, 11.0, 15.0, 12.0, 7.0, 11.0, 15.0, 12.0]"
-743285127,Dominion,23,GAME_OVER,224,0,4,515,OSLA,9.0,12.0,6.0,6.0,OSLA,OSLA,OSLA,2,30,10,9,35,6,10,6,8,4,0,0,10,8,12,0,3,0,0,18,1,0,22,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 9.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0, 12.0, 9.0, 6.0, 6.0]"
12928350,Dominion,19,GAME_OVER,224,2,4,516,OSLA,6.0,9.0,6.0,12.0,OSLA,OSLA,OSLA,7,30,10,9,38,9,14,6,8,7,0,0,10,10,12,0,3,4,8,17,1,0,15,"[6.0, 4.0, 4.0, 4.0, 7.0, 5.0, 5.0, 5.0, 8.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 12.0, 6.0, 9.0, 6.0, 12.0, 6.0, 9.0, 6.0, 12.0, 6.0]"
-2010002867,Dominion,22,GAME_OVER,229,1,4,517,OSLA,12.0,6.0,12.0,6.0,OSLA,OSLA,OSLA,4,30,10,8,36,8,14,5,9,3,0,0,10,8,12,0,3,0,0,30,0,0,19,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0, 6.0, 12.0]"
427870526,Dominion,19,GAME_OVER,215,3,4,518,OSLA,9.0,7.0,11.0,9.0,OSLA,OSLA,OSLA,6,30,10,8,39,9,17,9,7,5,0,0,10,9,12,0,3,3,6,15,0,0,33,"[4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 7.0, 6.0, 6.0, 6.0, 8.0, 7.0, 6.0, 6.0, 8.0, 7.0, 6.0, 6.0, 8.0, 7.0, 6.0, 6.0, 8.0, 7.0, 6.0, 6.0, 8.0, 7.0, 6.0, 9.0, 8.0, 7.0, 6.0, 9.0, 8.0, 7.0, 6.0, 9.0, 8.0, 7.0, 6.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 7.0, 9.0, 9.0, 11.0, 7.0, 9.0, 9.0, 11.0]"
