GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
1024990892,Dominion,24,GAME_OVER,261,2,4,2006,random,5.0,9.0,8.0,8.0,random,random,random,2,29,9,9,35,6,13,2,7,5,0,0,9,9,12,0,3,3,6,26,2,0,46,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 7.0, 3.0, 3.0, 4.0, 7.0, 6.0, 3.0, 5.0, 7.0, 6.0, 3.0, 5.0, 7.0, 6.0, 3.0, 5.0, 7.0, 7.0, 3.0, 5.0, 7.0, 8.0, 3.0, 5.0, 7.0, 8.0, 3.0, 5.0, 7.0, 8.0, 4.0, 5.0, 7.0, 8.0, 4.0, 5.0, 7.0, 9.0, 4.0, 5.0, 7.0, 9.0, 4.0, 5.0, 7.0, 9.0, 7.0, 5.0, 7.0, 6.0, 7.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 7.0, 8.0, 5.0, 7.0, 7.0, 8.0, 5.0, 7.0, 7.0, 9.0, 5.0, 7.0, 7.0, 9.0, 5.0, 7.0, 8.0, 9.0, 5.0, 7.0, 8.0, 9.0, 5.0, 8.0, 8.0, 9.0, 5.0, 8.0, 8.0]"
1542999819,Dominion,29,GAME_OVER,354,2,4,2007,random,4.0,6.0,7.0,4.0,random,random,random,1,30,9,11,32,7,5,0,9,1,0,0,9,4,12,5,3,1,2,49,4,0,91,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 3.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 6.0, 4.0, 4.0, 7.0, 6.0, 4.0, 4.0, 7.0]"
-1580811206,Dominion,25,GAME_OVER,264,2,4,2008,random,4.0,8.0,10.0,7.0,random,random,random,6,27,9,10,32,6,12,4,10,3,0,0,8,3,12,0,3,0,0,20,7,0,28,"[3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 6.0, 6.0, 4.0, 4.0, 6.0, 6.0, 4.0, 5.0, 6.0, 6.0, 4.0, 5.0, 9.0, 6.0, 4.0, 5.0, 10.0, 6.0, 4.0, 5.0, 10.0, 6.0, 4.0, 5.0, 10.0, 7.0, 4.0, 5.0, 10.0, 8.0, 4.0, 5.0, 10.0, 7.0, 4.0, 6.0, 10.0, 7.0, 4.0, 7.0, 10.0, 7.0, 4.0, 7.0, 10.0, 7.0, 4.0, 7.0, 10.0, 8.0, 4.0, 7.0, 10.0, 8.0, 4.0, 7.0, 10.0]"
1406318947,Dominion,23,GAME_OVER,272,2,4,2009,random,4.0,6.0,8.0,4.0,random,random,random,4,30,10,11,34,6,18,0,4,6,0,0,10,4,12,3,3,2,4,27,4,0,47,"[3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 6.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0, 3.0, 7.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 4.0, 8.0, 5.0, 3.0, 4.0, 8.0, 5.0, 3.0, 4.0, 8.0, 6.0, 4.0, 4.0, 8.0, 6.0, 4.0, 4.0, 8.0, 6.0, 4.0, 4.0, 8.0]"
1570671794,Dominion,22,GAME_OVER,241,2,4,2010,random,5.0,6.0,6.0,9.0,random,random,random,4,30,10,11,34,7,18,3,5,5,0,0,10,8,12,0,3,1,2,21,2,0,40,"[3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 8.0, 4.0, 3.0, 4.0, 8.0, 4.0, 3.0, 4.0, 8.0, 4.0, 3.0, 4.0, 8.0, 4.0, 3.0, 5.0, 8.0, 4.0, 4.0, 5.0, 8.0, 4.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 5.0, 4.0, 5.0, 9.0, 6.0, 4.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 6.0, 6.0, 5.0, 9.0, 6.0]"
540082064,Dominion,28,GAME_OVER,383,1,4,2011,random,4.0,5.0,4.0,7.0,random,random,random,3,30,9,12,27,7,9,2,2,0,0,0,9,4,12,2,3,11,24,45,7,2,55,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 5.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 6.0, 4.0, 6.0, 4.0, 6.0, 4.0, 7.0, 4.0, 6.0, 4.0, 7.0, 4.0, 5.0, 4.0, 7.0, 4.0, 5.0, 4.0, 7.0, 4.0]"
-991337134,Dominion,23,GAME_OVER,263,2,4,2012,random,7.0,12.0,6.0,5.0,random,random,random,2,30,9,10,37,8,14,2,6,3,0,0,10,10,12,0,3,5,11,27,1,1,46,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 8.0, 5.0, 5.0, 4.0, 9.0, 6.0, 5.0, 5.0, 9.0, 6.0, 5.0, 5.0, 9.0, 6.0, 5.0, 5.0, 12.0, 6.0, 5.0, 5.0, 12.0, 7.0, 5.0, 5.0, 12.0, 7.0, 5.0, 5.0, 12.0, 7.0, 5.0, 6.0, 12.0, 7.0, 5.0, 6.0, 12.0, 7.0, 5.0, 6.0, 12.0, 7.0, 5.0, 6.0, 12.0, 7.0, 5.0, 6.0, 12.0, 7.0, 5.0, 6.0]"
183585184,Dominion,24,GAME_OVER,289,2,4,2013,random,6.0,11.0,6.0,4.0,random,random,random,2,30,9,10,28,5,9,0,8,6,0,0,9,7,12,2,3,0,0,30,8,0,33,"[3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 6.0, 4.0, 6.0, 10.0, 6.0, 4.0, 6.0, 10.0, 6.0, 4.0, 6.0, 10.0, 6.0, 4.0, 6.0, 11.0, 6.0, 4.0, 6.0]"
2130877785,Dominion,21,GAME_OVER,245,1,4,2014,random,5.0,6.0,3.0,11.0,random,random,random,0,29,7,10,35,5,17,6,6,0,0,4,10,1,12,4,3,3,11,37,1,5,50,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 2.0, 3.0, 3.0, 7.0, 2.0, 3.0, 3.0, 7.0, 2.0, 3.0, 4.0, 7.0, 3.0, 4.0, 4.0, 7.0, 3.0, 4.0, 4.0, 7.0, 3.0, 5.0, 4.0, 8.0, 3.0, 5.0, 4.0, 11.0, 3.0, 5.0, 5.0, 11.0, 3.0, 6.0, 5.0, 11.0, 3.0, 6.0, 5.0, 11.0, 3.0, 6.0, 5.0, 11.0, 3.0]"
24662136,Dominion,31,GAME_OVER,378,3,4,2015,random,7.0,9.0,10.0,8.0,random,random,random,3,29,10,8,27,5,7,1,8,1,0,0,6,3,12,0,3,3,6,60,9,0,93,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 6.0, 3.0, 4.0, 3.0, 6.0, 3.0, 4.0, 3.0, 6.0, 3.0, 4.0, 3.0, 6.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 6.0, 7.0, 3.0, 4.0, 7.0, 7.0, 3.0, 4.0, 7.0, 7.0, 3.0, 4.0, 7.0, 7.0, 3.0, 4.0, 7.0, 7.0, 3.0, 4.0, 6.0, 7.0, 3.0, 4.0, 6.0, 7.0, 3.0, 4.0, 6.0, 7.0, 3.0, 4.0, 6.0, 7.0, 3.0, 5.0, 6.0, 7.0, 3.0, 5.0, 6.0, 7.0, 3.0, 8.0, 6.0, 7.0, 3.0, 8.0, 6.0, 7.0, 4.0, 8.0, 7.0, 7.0, 4.0, 9.0, 8.0, 7.0, 4.0, 9.0, 8.0, 7.0, 4.0, 9.0, 9.0, 7.0, 4.0, 9.0, 9.0, 8.0, 4.0, 9.0, 9.0, 8.0, 5.0, 9.0, 9.0, 7.0, 5.0, 9.0, 9.0, 7.0, 8.0, 10.0]"
38103528,Dominion,20,GAME_OVER,240,3,4,2016,random,6.0,7.0,6.0,3.0,random,random,random,2,30,10,12,37,7,19,4,10,3,0,0,10,8,12,0,3,0,0,29,5,0,35,"[3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0, 7.0, 4.0, 4.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 6.0, 4.0, 5.0, 7.0, 6.0, 3.0, 6.0]"
