GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ScoresPerTurn(ScoresPerTurn)
1194499819,DotsAndBoxes,0,GAME_OVER,82,47,2,1505,OSLA,17.0,18.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 1.0, 4.0, 1.0, 6.0, 4.0, 9.0, 4.0, 11.0, 7.0, 12.0, 13.0, 18.0, 15.0, 18.0, 17.0]"
-2045349193,DotsAndBoxes,0,GAME_OVER,82,47,2,1506,OSLA,24.0,11.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 4.0, 1.0, 4.0, 1.0, 5.0, 2.0, 5.0, 3.0, 5.0, 3.0, 6.0, 3.0, 7.0, 5.0, 8.0, 8.0, 16.0, 9.0, 21.0, 11.0, 22.0, 11.0, 24.0]"
389658217,DotsAndBoxes,0,GAME_OVER,82,48,2,1507,OSLA,20.0,15.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 3.0, 3.0, 4.0, 4.0, 7.0, 6.0, 7.0, 7.0, 9.0, 10.0, 11.0, 12.0, 16.0, 15.0, 20.0]"
284208330,DotsAndBoxes,0,GAME_OVER,82,47,2,1508,OSLA,18.0,17.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 6.0, 4.0, 7.0, 4.0, 8.0, 6.0, 9.0, 8.0, 11.0, 9.0, 13.0, 9.0, 17.0, 16.0, 17.0, 18.0]"
-712378301,DotsAndBoxes,0,GAME_OVER,82,47,2,1509,OSLA,20.0,15.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 7.0, 6.0, 7.0, 9.0, 7.0, 14.0, 7.0, 14.0, 15.0, 14.0, 15.0, 17.0, 15.0, 20.0]"
1380862425,DotsAndBoxes,0,GAME_OVER,82,47,2,1510,OSLA,14.0,21.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 5.0, 1.0, 6.0, 1.0, 6.0, 2.0, 9.0, 2.0, 10.0, 4.0, 13.0, 4.0, 19.0, 8.0, 21.0, 12.0, 21.0, 14.0]"
1160952082,DotsAndBoxes,0,GAME_OVER,82,47,2,1511,OSLA,18.0,17.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 2.0, 4.0, 6.0, 13.0, 12.0, 13.0, 13.0, 17.0, 16.0, 17.0, 18.0]"
-719299155,DotsAndBoxes,0,GAME_OVER,82,47,2,1512,OSLA,11.0,24.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 6.0, 4.0, 9.0, 4.0, 10.0, 5.0, 12.0, 5.0, 15.0, 5.0, 16.0, 7.0, 18.0, 8.0, 24.0, 9.0, 24.0, 11.0]"
-2131880985,DotsAndBoxes,0,GAME_OVER,82,47,2,1513,OSLA,16.0,19.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 4.0, 0.0, 4.0, 2.0, 5.0, 2.0, 6.0, 3.0, 7.0, 3.0, 8.0, 3.0, 8.0, 4.0, 9.0, 4.0, 10.0, 5.0, 12.0, 6.0, 17.0, 8.0, 18.0, 12.0, 19.0, 14.0, 19.0, 16.0]"
-1067999856,DotsAndBoxes,0,GAME_OVER,82,47,2,1514,OSLA,24.0,11.0,OSLA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 2.0, 4.0, 3.0, 4.0, 6.0, 4.0, 6.0, 4.0, 8.0, 4.0, 8.0, 6.0, 15.0, 10.0, 16.0, 11.0, 19.0, 11.0, 24.0]"
