GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1022387316,SeaSaltPaper,3,GAME_OVER,342,32,4,2,mcts1,34.0,12.0,13.0,21.0,mcts1,mcts1,mcts1,8,64,4,7,1,3,5,5,30,9,55,8,9,11,7,13,10,3,9,12,17,3,9,4,15,13,10,16,7,12,9,1,"[2.0, 4.0, 10.0, 2.0, 4.0, 15.0, 13.0, 5.0, 6.0, 27.0, 15.0, 7.0, 12.0, 34.0, 21.0, 13.0]"
1401021403,SeaSaltPaper,4,GAME_OVER,399,23,4,3,mcts1,25.0,26.0,22.0,30.0,mcts1,mcts1,mcts1,5,78,3,8,0,5,8,11,41,6,68,10,13,16,8,14,12,9,6,21,17,8,6,5,24,18,12,22,9,12,6,4,"[8.0, 1.0, 6.0, 9.0, 11.0, 10.0, 10.0, 11.0, 18.0, 12.0, 18.0, 17.0, 25.0, 21.0, 20.0, 19.0, 26.0, 25.0, 30.0, 22.0]"
-762370467,SeaSaltPaper,4,GAME_OVER,368,30,4,4,mcts1,24.0,33.0,21.0,21.0,mcts1,mcts1,mcts1,3,71,4,7,1,4,6,5,32,11,60,6,8,7,12,11,14,7,11,20,12,5,11,4,18,16,11,16,9,8,7,3,"[2.0, 2.0, 3.0, 9.0, 4.0, 13.0, 5.0, 11.0, 15.0, 15.0, 10.0, 13.0, 27.0, 18.0, 12.0, 15.0, 33.0, 24.0, 21.0, 21.0]"
1031690385,SeaSaltPaper,3,GAME_OVER,310,24,4,5,mcts1,30.0,17.0,14.0,14.0,mcts1,mcts1,mcts1,2,59,2,8,1,3,3,8,28,6,54,8,11,8,9,10,9,7,6,16,12,5,6,4,15,17,13,11,9,8,5,3,"[2.0, 10.0, 2.0, 2.0, 11.0, 13.0, 7.0, 9.0, 13.0, 23.0, 9.0, 12.0, 17.0, 30.0, 14.0, 14.0]"
720613369,SeaSaltPaper,4,GAME_OVER,405,30,4,6,mcts1,17.0,30.0,20.0,31.0,mcts1,mcts1,mcts1,7,74,7,11,0,5,7,4,36,10,73,7,11,12,13,18,11,8,10,17,16,7,10,5,22,17,18,15,6,9,10,4,"[3.0, 2.0, 2.0, 10.0, 5.0, 4.0, 12.0, 13.0, 7.0, 7.0, 23.0, 15.0, 20.0, 12.0, 26.0, 17.0, 30.0, 17.0, 31.0, 20.0]"
-1919035497,SeaSaltPaper,4,GAME_OVER,415,25,4,7,mcts1,35.0,14.0,25.0,18.0,mcts1,mcts1,mcts1,8,79,6,9,0,5,5,8,38,10,78,10,13,13,11,16,12,7,10,19,23,5,10,5,21,25,13,19,8,14,11,3,"[2.0, 10.0, 2.0, 2.0, 4.0, 20.0, 4.0, 4.0, 10.0, 23.0, 13.0, 11.0, 12.0, 26.0, 16.0, 21.0, 14.0, 35.0, 18.0, 25.0]"
-468847025,SeaSaltPaper,6,GAME_OVER,515,23,4,8,mcts1,38.0,24.0,31.0,34.0,mcts1,mcts1,mcts1,9,99,8,7,1,6,9,13,52,12,100,15,16,19,14,24,17,9,12,27,24,9,12,7,29,25,21,25,13,23,11,2,"[2.0, 16.0, 2.0, 3.0, 4.0, 18.0, 5.0, 11.0, 7.0, 22.0, 7.0, 21.0, 18.0, 24.0, 9.0, 24.0, 20.0, 27.0, 19.0, 26.0, 23.0, 29.0, 28.0, 29.0, 24.0, 38.0, 34.0, 31.0]"
-278271453,SeaSaltPaper,4,GAME_OVER,353,28,4,9,mcts1,36.0,30.0,13.0,12.0,mcts1,mcts1,mcts1,5,71,1,3,1,4,8,10,28,10,54,6,5,8,7,12,10,8,10,21,15,5,10,5,17,13,14,12,7,10,7,2,"[1.0, 12.0, 2.0, 2.0, 12.0, 15.0, 4.0, 4.0, 23.0, 18.0, 6.0, 5.0, 25.0, 28.0, 8.0, 7.0, 30.0, 36.0, 12.0, 13.0]"
362472442,SeaSaltPaper,4,GAME_OVER,420,27,4,10,mcts1,16.0,26.0,39.0,17.0,mcts1,mcts1,mcts1,10,78,5,8,0,5,5,9,38,10,79,11,10,11,11,14,14,9,10,21,25,8,10,6,28,21,13,17,10,13,7,3,"[11.0, 2.0, 4.0, 2.0, 18.0, 10.0, 10.0, 4.0, 22.0, 12.0, 13.0, 17.0, 24.0, 14.0, 15.0, 29.0, 26.0, 16.0, 17.0, 39.0]"
1766446454,SeaSaltPaper,4,GAME_OVER,422,20,4,11,mcts1,28.0,24.0,30.0,18.0,mcts1,mcts1,mcts1,7,82,8,9,1,4,7,9,44,13,74,10,10,15,12,22,14,8,13,19,17,8,13,6,23,22,17,20,9,11,9,2,"[8.0, 2.0, 6.0, 7.0, 11.0, 11.0, 9.0, 11.0, 15.0, 21.0, 11.0, 14.0, 18.0, 24.0, 14.0, 23.0, 24.0, 28.0, 18.0, 30.0]"
-824969536,SeaSaltPaper,3,GAME_OVER,315,35,4,12,mcts1,11.0,32.0,13.0,23.0,mcts1,mcts1,mcts1,7,62,3,5,1,3,5,5,26,4,42,6,9,12,6,10,5,5,4,10,10,3,4,5,16,14,7,11,3,6,6,2,"[2.0, 1.0, 8.0, 2.0, 10.0, 5.0, 16.0, 7.0, 19.0, 9.0, 19.0, 10.0, 32.0, 11.0, 23.0, 13.0]"
-48689322,SeaSaltPaper,3,GAME_OVER,270,23,4,13,mcts1,7.0,37.0,14.0,13.0,mcts1,mcts1,mcts1,5,56,3,0,0,4,3,5,29,5,42,10,2,9,6,10,8,5,5,9,17,4,5,5,18,9,7,9,6,11,5,2,"[9.0, 2.0, 3.0, 1.0, 18.0, 3.0, 9.0, 9.0, 27.0, 5.0, 11.0, 12.0, 37.0, 7.0, 13.0, 14.0]"
1651914384,SeaSaltPaper,4,GAME_OVER,394,26,4,14,mcts1,20.0,30.0,20.0,20.0,mcts1,mcts1,mcts1,6,73,6,9,1,4,8,12,31,10,70,8,9,11,11,19,11,6,10,20,18,6,10,4,21,18,18,16,9,11,8,2,"[2.0, 8.0, 6.0, 2.0, 5.0, 10.0, 8.0, 11.0, 14.0, 13.0, 11.0, 13.0, 26.0, 15.0, 13.0, 15.0, 30.0, 20.0, 20.0, 20.0]"
1581614518,SeaSaltPaper,5,GAME_OVER,471,23,4,15,mcts1,34.0,37.0,18.0,27.0,mcts1,mcts1,mcts1,10,89,5,8,1,5,9,10,45,10,92,11,10,18,11,23,12,7,10,26,29,10,10,7,29,20,18,24,10,16,12,1,"[4.0, 2.0, 8.0, 5.0, 14.0, 4.0, 11.0, 8.0, 25.0, 6.0, 13.0, 11.0, 27.0, 19.0, 16.0, 14.0, 29.0, 28.0, 19.0, 16.0, 37.0, 34.0, 27.0, 18.0]"
200233402,SeaSaltPaper,5,GAME_OVER,505,27,4,16,mcts1,27.0,31.0,24.0,32.0,mcts1,mcts1,mcts1,6,102,9,10,1,5,10,13,43,11,97,11,18,16,14,23,14,9,11,28,20,11,11,6,29,25,24,21,9,12,13,3,"[3.0, 5.0, 8.0, 2.0, 6.0, 7.0, 19.0, 5.0, 15.0, 9.0, 22.0, 8.0, 18.0, 19.0, 24.0, 10.0, 21.0, 22.0, 27.0, 22.0, 31.0, 27.0, 32.0, 24.0]"
339985094,SeaSaltPaper,3,GAME_OVER,355,37,4,17,mcts1,19.0,31.0,18.0,25.0,mcts1,mcts1,mcts1,5,69,5,7,1,3,6,8,28,7,54,8,8,9,7,16,10,4,7,17,11,3,7,4,18,13,13,14,6,11,7,1,"[4.0, 6.0, 6.0, 7.0, 13.0, 8.0, 8.0, 9.0, 20.0, 12.0, 17.0, 15.0, 31.0, 19.0, 25.0, 18.0]"
545567878,SeaSaltPaper,4,GAME_OVER,400,30,4,18,mcts1,19.0,34.0,12.0,28.0,mcts1,mcts1,mcts1,6,77,4,7,1,4,6,12,36,7,67,9,11,14,10,18,11,8,7,13,21,9,7,4,22,9,20,15,10,14,10,2,"[12.0, 1.0, 2.0, 1.0, 22.0, 3.0, 5.0, 3.0, 25.0, 15.0, 8.0, 5.0, 27.0, 17.0, 22.0, 7.0, 34.0, 19.0, 28.0, 12.0]"
1060519623,SeaSaltPaper,4,GAME_OVER,451,36,4,19,mcts1,27.0,23.0,18.0,36.0,mcts1,mcts1,mcts1,7,88,6,9,2,3,8,8,35,10,82,7,14,13,11,18,13,6,10,23,20,7,10,5,28,20,16,18,5,14,10,2,"[4.0, 3.0, 10.0, 2.0, 9.0, 13.0, 13.0, 5.0, 16.0, 16.0, 17.0, 9.0, 19.0, 18.0, 28.0, 12.0, 23.0, 27.0, 36.0, 18.0]"
-827083441,SeaSaltPaper,4,GAME_OVER,432,24,4,20,mcts1,24.0,30.0,24.0,15.0,mcts1,mcts1,mcts1,6,82,5,11,2,3,8,6,37,9,87,11,15,14,11,15,12,5,9,21,26,9,9,3,23,24,15,25,7,16,6,2,"[6.0, 7.0, 3.0, 2.0, 8.0, 18.0, 7.0, 6.0, 11.0, 21.0, 9.0, 17.0, 22.0, 23.0, 12.0, 21.0, 30.0, 24.0, 15.0, 24.0]"
1656509270,SeaSaltPaper,3,GAME_OVER,362,32,4,21,mcts1,17.0,21.0,15.0,35.0,mcts1,mcts1,mcts1,6,74,3,6,2,2,3,8,33,7,57,7,6,10,12,15,12,6,7,17,13,4,7,3,19,15,11,15,11,10,7,3,"[7.0, 1.0, 6.0, 5.0, 10.0, 4.0, 20.0, 8.0, 13.0, 12.0, 27.0, 12.0, 21.0, 17.0, 35.0, 15.0]"
-374799418,SeaSaltPaper,4,GAME_OVER,405,23,4,22,mcts1,15.0,21.0,31.0,29.0,mcts1,mcts1,mcts1,6,78,5,5,0,5,7,5,39,13,76,8,9,17,13,15,13,5,13,20,20,8,13,3,19,19,18,21,8,15,7,2,"[9.0, 3.0, 2.0, 2.0, 12.0, 6.0, 4.0, 13.0, 16.0, 9.0, 6.0, 25.0, 19.0, 12.0, 21.0, 27.0, 21.0, 15.0, 29.0, 31.0]"
1102106636,SeaSaltPaper,6,GAME_OVER,601,23,4,23,mcts1,34.0,32.0,33.0,31.0,mcts1,mcts1,mcts1,7,119,11,14,3,4,9,18,52,13,127,15,18,19,18,33,16,10,13,33,35,10,13,8,35,32,27,31,14,23,15,2,"[4.0, 3.0, 5.0, 7.0, 5.0, 7.0, 8.0, 16.0, 11.0, 14.0, 11.0, 19.0, 15.0, 16.0, 21.0, 22.0, 18.0, 27.0, 23.0, 24.0, 29.0, 29.0, 26.0, 26.0, 32.0, 34.0, 31.0, 33.0]"
566346002,SeaSaltPaper,3,GAME_OVER,298,20,4,24,mcts1,8.0,30.0,21.0,12.0,mcts1,mcts1,mcts1,4,56,3,6,1,3,5,5,28,6,55,9,9,8,9,13,10,4,6,12,14,5,6,4,16,16,12,11,7,10,5,2,"[9.0, 2.0, 2.0, 3.0, 11.0, 4.0, 4.0, 15.0, 23.0, 6.0, 8.0, 19.0, 30.0, 8.0, 12.0, 21.0]"
501167772,SeaSaltPaper,2,GAME_OVER,246,19,4,25,mcts1,30.0,14.0,10.0,5.0,mcts1,mcts1,mcts1,4,45,4,4,0,3,5,6,22,6,40,8,6,9,7,13,4,4,6,7,10,5,6,4,9,10,10,11,6,7,5,1,"[8.0, 12.0, 2.0, 5.0, 10.0, 21.0, 4.0, 9.0, 14.0, 30.0, 5.0, 10.0]"
-1334063128,SeaSaltPaper,3,GAME_OVER,354,36,4,26,mcts1,14.0,21.0,24.0,32.0,mcts1,mcts1,mcts1,3,67,7,6,0,4,4,7,30,11,53,8,10,11,8,12,10,6,11,15,10,7,11,2,19,12,12,13,5,13,4,3,"[5.0, 2.0, 8.0, 9.0, 8.0, 5.0, 17.0, 11.0, 18.0, 9.0, 25.0, 13.0, 21.0, 14.0, 32.0, 24.0]"
516863202,SeaSaltPaper,4,GAME_OVER,416,31,4,27,mcts1,19.0,23.0,39.0,15.0,mcts1,mcts1,mcts1,7,79,5,8,1,4,8,8,35,12,72,9,8,12,9,19,11,6,12,20,21,4,12,5,23,20,15,16,5,14,10,3,"[6.0, 4.0, 2.0, 9.0, 9.0, 10.0, 8.0, 16.0, 20.0, 12.0, 11.0, 19.0, 21.0, 15.0, 13.0, 29.0, 23.0, 19.0, 15.0, 39.0]"
1376999113,SeaSaltPaper,3,GAME_OVER,328,31,4,28,mcts1,18.0,14.0,17.0,30.0,mcts1,mcts1,mcts1,3,63,7,9,2,2,5,7,25,4,57,7,8,8,9,17,7,7,4,16,10,6,4,5,18,16,14,13,4,8,3,2,"[4.0, 4.0, 3.0, 7.0, 7.0, 11.0, 8.0, 12.0, 9.0, 15.0, 19.0, 14.0, 14.0, 18.0, 30.0, 17.0]"
-1522328196,SeaSaltPaper,5,GAME_OVER,465,31,4,29,mcts1,31.0,23.0,32.0,27.0,mcts1,mcts1,mcts1,8,94,4,9,1,5,8,10,35,11,88,13,10,12,13,20,7,7,11,25,26,7,11,6,23,26,15,15,11,20,7,3,"[3.0, 9.0, 3.0, 2.0, 7.0, 20.0, 6.0, 4.0, 10.0, 23.0, 18.0, 6.0, 17.0, 27.0, 22.0, 12.0, 20.0, 29.0, 25.0, 21.0, 23.0, 31.0, 27.0, 32.0]"
-151000053,SeaSaltPaper,4,GAME_OVER,487,35,4,30,mcts1,19.0,25.0,35.0,27.0,mcts1,mcts1,mcts1,9,93,9,10,1,4,7,9,47,8,87,7,14,20,11,23,17,7,8,21,23,7,8,5,28,18,23,23,9,16,11,3,"[3.0, 1.0, 2.0, 12.0, 8.0, 3.0, 6.0, 22.0, 10.0, 6.0, 15.0, 25.0, 13.0, 15.0, 20.0, 28.0, 25.0, 19.0, 27.0, 35.0]"
1001714656,SeaSaltPaper,3,GAME_OVER,279,27,4,31,mcts1,15.0,32.0,10.0,19.0,mcts1,mcts1,mcts1,4,54,4,4,0,4,3,6,26,3,45,9,7,7,6,16,8,5,3,8,11,5,3,5,16,8,9,12,4,10,6,2,"[1.0, 6.0, 9.0, 2.0, 14.0, 10.0, 12.0, 4.0, 23.0, 12.0, 15.0, 7.0, 32.0, 15.0, 19.0, 10.0]"
665829984,SeaSaltPaper,4,GAME_OVER,421,27,4,32,mcts1,17.0,31.0,16.0,31.0,mcts1,mcts1,mcts1,8,80,6,10,0,5,7,11,39,11,71,9,11,15,10,18,12,8,11,16,22,8,11,6,23,17,14,16,12,14,10,1,"[2.0, 2.0, 10.0, 3.0, 8.0, 12.0, 14.0, 10.0, 11.0, 13.0, 26.0, 12.0, 20.0, 15.0, 29.0, 14.0, 31.0, 17.0, 31.0, 16.0]"
-264032494,SeaSaltPaper,5,GAME_OVER,507,25,4,33,mcts1,19.0,35.0,30.0,28.0,mcts1,mcts1,mcts1,10,102,4,12,3,3,5,9,44,13,103,10,16,17,18,23,15,7,13,21,29,8,13,4,34,26,18,21,12,18,12,3,"[11.0, 3.0, 3.0, 2.0, 16.0, 7.0, 4.0, 10.0, 24.0, 15.0, 7.0, 20.0, 27.0, 17.0, 17.0, 22.0, 28.0, 18.0, 24.0, 23.0, 35.0, 19.0, 28.0, 30.0]"
