GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1022387316,SeaSaltPaper,4,GAME_OVER,411,37,4,1004,seasaltpaper-4P-128,22.0,30.0,29.0,18.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,78,5,6,0,5,8,8,35,13,63,9,9,12,6,20,11,6,13,15,18,7,13,4,13,14,16,19,8,12,10,3,"[2.0, 2.0, 2.0, 12.0, 13.0, 7.0, 5.0, 21.0, 15.0, 17.0, 7.0, 23.0, 17.0, 19.0, 15.0, 25.0, 30.0, 22.0, 18.0, 29.0]"
1401021403,SeaSaltPaper,3,GAME_OVER,355,30,4,1005,seasaltpaper-4P-128,21.0,30.0,18.0,23.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,70,5,5,2,2,7,8,30,8,59,6,8,12,7,16,10,5,8,16,17,6,8,3,16,18,12,18,6,10,6,2,"[8.0, 9.0, 8.0, 2.0, 11.0, 13.0, 13.0, 9.0, 25.0, 16.0, 16.0, 12.0, 30.0, 21.0, 23.0, 18.0]"
-762370467,SeaSaltPaper,4,GAME_OVER,403,20,4,1006,seasaltpaper-4P-128,21.0,25.0,35.0,15.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,80,4,6,2,3,11,8,34,9,79,8,10,11,12,15,14,5,9,25,21,5,9,3,22,14,16,20,8,17,13,3,"[12.0, 6.0, 4.0, 3.0, 14.0, 8.0, 7.0, 12.0, 18.0, 15.0, 9.0, 17.0, 22.0, 18.0, 12.0, 28.0, 25.0, 21.0, 15.0, 35.0]"
1031690385,SeaSaltPaper,4,GAME_OVER,389,29,4,1007,seasaltpaper-4P-128,28.0,15.0,18.0,39.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,6,78,7,6,0,5,6,10,35,10,63,9,8,10,9,15,11,10,10,22,14,5,10,5,22,18,14,10,12,10,8,4,"[2.0, 1.0, 9.0, 1.0, 5.0, 11.0, 12.0, 3.0, 10.0, 16.0, 23.0, 7.0, 12.0, 26.0, 29.0, 16.0, 15.0, 28.0, 39.0, 18.0]"
720613369,SeaSaltPaper,4,GAME_OVER,357,27,4,1008,seasaltpaper-4P-128,39.0,26.0,16.0,14.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,6,67,4,6,0,5,6,5,34,9,61,5,10,16,10,14,8,7,9,17,13,4,9,5,18,14,13,18,4,11,10,3,"[2.0, 10.0, 1.0, 2.0, 12.0, 13.0, 4.0, 4.0, 21.0, 15.0, 10.0, 11.0, 23.0, 26.0, 12.0, 13.0, 26.0, 39.0, 14.0, 16.0]"
-1919035497,SeaSaltPaper,4,GAME_OVER,417,28,4,1009,seasaltpaper-4P-128,29.0,22.0,24.0,36.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,9,82,5,8,1,4,6,3,40,12,76,8,14,15,9,15,15,2,12,19,22,5,12,5,23,22,15,21,7,13,8,0,"[2.0, 5.0, 2.0, 8.0, 11.0, 10.0, 9.0, 11.0, 13.0, 15.0, 18.0, 19.0, 20.0, 22.0, 23.0, 22.0, 22.0, 29.0, 36.0, 24.0]"
-468847025,SeaSaltPaper,3,GAME_OVER,339,30,4,1010,seasaltpaper-4P-128,30.0,11.0,15.0,24.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,4,66,3,7,0,4,7,7,28,6,53,8,8,11,8,14,8,5,6,15,11,5,6,4,13,14,9,12,4,15,10,2,"[3.0, 10.0, 2.0, 2.0, 6.0, 17.0, 8.0, 11.0, 8.0, 19.0, 20.0, 13.0, 11.0, 30.0, 24.0, 15.0]"
-278271453,SeaSaltPaper,5,GAME_OVER,457,28,4,1011,seasaltpaper-4P-128,37.0,24.0,33.0,16.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,87,9,9,1,5,6,11,42,10,87,11,11,12,12,25,17,10,10,22,20,10,10,5,28,18,22,21,12,15,7,2,"[3.0, 11.0, 2.0, 2.0, 14.0, 14.0, 4.0, 5.0, 16.0, 18.0, 8.0, 14.0, 19.0, 20.0, 11.0, 25.0, 21.0, 29.0, 13.0, 27.0, 24.0, 37.0, 16.0, 33.0]"
362472442,SeaSaltPaper,4,GAME_OVER,407,23,4,1012,seasaltpaper-4P-128,28.0,33.0,27.0,21.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,77,6,8,1,4,8,8,36,11,79,7,12,16,11,20,12,6,11,21,18,6,11,3,26,20,17,20,9,10,9,3,"[11.0, 4.0, 7.0, 4.0, 13.0, 8.0, 9.0, 13.0, 22.0, 10.0, 15.0, 19.0, 26.0, 22.0, 18.0, 21.0, 33.0, 28.0, 21.0, 27.0]"
1766446454,SeaSaltPaper,4,GAME_OVER,420,29,4,1013,seasaltpaper-4P-128,23.0,34.0,14.0,32.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,81,5,10,2,3,8,10,40,10,70,11,11,12,9,22,13,7,10,19,16,8,10,6,24,15,13,21,9,12,9,3,"[10.0, 3.0, 5.0, 2.0, 13.0, 6.0, 17.0, 4.0, 21.0, 11.0, 20.0, 10.0, 25.0, 20.0, 27.0, 12.0, 34.0, 23.0, 32.0, 14.0]"
