GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(DrawAndDiscard),ActionsCount(CrabDuo),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
326333671,SeaSaltPaper,3,GAME_OVER,313,32,4,1004,OSLA,24.0,20.0,14.0,30.0,OSLA,OSLA,OSLA,73,5,5,4,2,2,5,5,19,7,48,6,6,7,3,15,6,1,7,16,12,3,7,3,14,15,9,10,4,7,7,0,"[6.0, 6.0, 7.0, 7.0, 8.0, 15.0, 9.0, 8.0, 11.0, 18.0, 22.0, 9.0, 20.0, 24.0, 30.0, 14.0]"
575542767,SeaSaltPaper,5,GAME_OVER,408,21,4,1005,OSLA,34.0,32.0,27.0,32.0,OSLA,OSLA,OSLA,82,8,4,5,4,2,5,10,41,12,73,13,9,12,14,16,12,10,12,15,23,7,12,4,17,21,13,22,10,17,8,5,"[10.0, 6.0, 7.0, 4.0, 13.0, 11.0, 18.0, 7.0, 14.0, 14.0, 21.0, 17.0, 27.0, 16.0, 23.0, 21.0, 29.0, 28.0, 25.0, 25.0, 32.0, 34.0, 32.0, 27.0]"
-1000293791,SeaSaltPaper,4,GAME_OVER,394,21,4,1006,OSLA,25.0,25.0,30.0,28.0,OSLA,OSLA,OSLA,94,8,4,4,2,3,6,10,29,9,76,8,12,7,12,18,11,8,9,21,18,7,9,6,24,17,13,16,8,11,11,2,"[10.0, 10.0, 2.0, 6.0, 15.0, 11.0, 10.0, 8.0, 17.0, 14.0, 13.0, 19.0, 23.0, 17.0, 26.0, 28.0, 25.0, 25.0, 28.0, 30.0]"
1366490922,SeaSaltPaper,5,GAME_OVER,512,26,4,1007,OSLA,28.0,29.0,31.0,31.0,OSLA,OSLA,OSLA,108,8,7,6,3,3,11,11,46,15,93,12,13,19,11,22,14,8,15,28,23,9,15,6,32,22,20,20,10,19,10,2,"[3.0, 3.0, 1.0, 10.0, 5.0, 7.0, 8.0, 14.0, 10.0, 12.0, 16.0, 17.0, 15.0, 20.0, 22.0, 24.0, 25.0, 22.0, 24.0, 26.0, 29.0, 28.0, 31.0, 31.0]"
-100645467,SeaSaltPaper,4,GAME_OVER,331,20,4,1008,OSLA,19.0,27.0,22.0,30.0,OSLA,OSLA,OSLA,70,5,5,5,5,0,1,9,29,10,60,10,10,12,9,13,8,4,10,14,18,6,10,5,20,16,16,9,9,9,8,0,"[3.0, 2.0, 7.0, 2.0, 11.0, 6.0, 10.0, 10.0, 18.0, 9.0, 11.0, 16.0, 24.0, 18.0, 21.0, 19.0, 27.0, 19.0, 30.0, 22.0]"
1856804744,SeaSaltPaper,4,GAME_OVER,309,20,4,1009,OSLA,30.0,15.0,37.0,12.0,OSLA,OSLA,OSLA,67,2,5,3,3,2,2,8,32,8,51,10,7,8,8,17,12,4,8,12,13,3,8,6,21,14,10,12,8,6,9,2,"[1.0, 8.0, 1.0, 6.0, 5.0, 15.0, 5.0, 14.0, 10.0, 24.0, 7.0, 20.0, 14.0, 27.0, 8.0, 29.0, 15.0, 30.0, 12.0, 37.0]"
-642739628,SeaSaltPaper,4,GAME_OVER,394,28,4,1010,OSLA,32.0,23.0,30.0,21.0,OSLA,OSLA,OSLA,84,8,4,7,3,2,5,8,30,12,68,10,11,10,11,13,7,6,12,18,20,8,12,5,21,18,9,18,11,10,3,3,"[7.0, 4.0, 9.0, 3.0, 13.0, 11.0, 13.0, 11.0, 15.0, 14.0, 15.0, 21.0, 17.0, 24.0, 17.0, 24.0, 23.0, 32.0, 21.0, 30.0]"
-1763717981,SeaSaltPaper,3,GAME_OVER,356,25,4,1011,OSLA,24.0,26.0,30.0,22.0,OSLA,OSLA,OSLA,83,4,6,6,1,3,7,7,20,10,68,6,9,10,10,19,4,3,10,20,14,5,10,2,16,17,13,19,4,12,6,1,"[11.0, 5.0, 5.0, 7.0, 18.0, 15.0, 8.0, 18.0, 21.0, 17.0, 18.0, 21.0, 26.0, 24.0, 22.0, 30.0]"
1632357685,SeaSaltPaper,5,GAME_OVER,419,16,4,1012,OSLA,36.0,30.0,24.0,27.0,OSLA,OSLA,OSLA,93,8,3,6,5,1,3,10,32,16,83,12,13,6,14,19,12,8,16,17,24,6,16,6,19,26,16,21,10,11,7,3,"[5.0, 7.0, 7.0, 4.0, 12.0, 9.0, 9.0, 11.0, 19.0, 13.0, 17.0, 16.0, 21.0, 22.0, 19.0, 18.0, 28.0, 28.0, 26.0, 22.0, 30.0, 36.0, 27.0, 24.0]"
550466984,SeaSaltPaper,4,GAME_OVER,385,17,4,1013,OSLA,25.0,37.0,23.0,19.0,OSLA,OSLA,OSLA,84,8,8,4,4,1,5,10,35,11,75,10,7,13,9,20,11,5,11,25,20,7,11,3,23,16,19,20,12,11,8,1,"[6.0, 7.0, 2.0, 1.0, 10.0, 15.0, 6.0, 6.0, 18.0, 18.0, 8.0, 9.0, 29.0, 23.0, 18.0, 17.0, 37.0, 25.0, 19.0, 23.0]"
642698332,SeaSaltPaper,4,GAME_OVER,334,24,4,1014,OSLA,20.0,25.0,34.0,17.0,OSLA,OSLA,OSLA,73,4,2,5,4,1,4,8,30,10,51,10,10,8,10,10,10,7,10,14,10,5,10,5,20,13,6,14,11,8,5,2,"[7.0, 2.0, 0.0, 3.0, 11.0, 11.0, 6.0, 9.0, 13.0, 12.0, 9.0, 20.0, 18.0, 18.0, 14.0, 27.0, 25.0, 20.0, 17.0, 34.0]"
1433969353,SeaSaltPaper,4,GAME_OVER,418,24,4,1015,OSLA,21.0,31.0,24.0,24.0,OSLA,OSLA,OSLA,94,8,6,8,3,2,4,10,32,9,80,14,11,11,11,16,8,5,9,21,25,9,9,5,23,18,16,17,10,15,8,1,"[8.0, 8.0, 11.0, 4.0, 17.0, 10.0, 13.0, 7.0, 19.0, 18.0, 15.0, 14.0, 23.0, 20.0, 18.0, 21.0, 31.0, 21.0, 24.0, 24.0]"
-743285127,SeaSaltPaper,4,GAME_OVER,350,23,4,1016,OSLA,23.0,17.0,34.0,29.0,OSLA,OSLA,OSLA,72,3,7,2,4,1,5,8,34,10,62,6,4,11,9,20,12,8,10,19,15,5,10,7,16,17,17,16,6,10,9,1,"[8.0, 5.0, 4.0, 8.0, 9.0, 8.0, 9.0, 15.0, 15.0, 12.0, 16.0, 17.0, 17.0, 19.0, 25.0, 25.0, 17.0, 23.0, 29.0, 34.0]"
12928350,SeaSaltPaper,4,GAME_OVER,386,24,4,1017,OSLA,25.0,32.0,23.0,27.0,OSLA,OSLA,OSLA,84,6,5,4,4,1,9,8,33,11,67,10,8,13,8,14,11,3,11,24,17,6,11,3,20,22,11,16,8,12,10,0,"[6.0, 5.0, 9.0, 8.0, 16.0, 7.0, 10.0, 11.0, 22.0, 13.0, 16.0, 18.0, 27.0, 21.0, 20.0, 19.0, 32.0, 25.0, 27.0, 23.0]"
-2010002867,SeaSaltPaper,3,GAME_OVER,263,21,4,1018,OSLA,30.0,12.0,20.0,9.0,OSLA,OSLA,OSLA,54,2,5,3,2,2,3,3,25,7,44,7,5,9,9,10,8,3,7,10,11,2,7,4,16,14,7,11,5,9,3,1,"[3.0, 9.0, 2.0, 4.0, 5.0, 20.0, 3.0, 8.0, 9.0, 23.0, 6.0, 15.0, 12.0, 30.0, 9.0, 20.0]"
427870526,SeaSaltPaper,4,GAME_OVER,354,20,4,1019,OSLA,16.0,32.0,22.0,28.0,OSLA,OSLA,OSLA,82,4,5,2,4,1,5,5,34,10,61,9,9,12,10,11,12,2,10,21,14,3,10,3,22,15,12,16,11,7,9,2,"[5.0, 2.0, 9.0, 4.0, 8.0, 4.0, 13.0, 11.0, 14.0, 9.0, 20.0, 16.0, 25.0, 11.0, 23.0, 18.0, 32.0, 16.0, 28.0, 22.0]"
