GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1022387316,SeaSaltPaper,3,GAME_OVER,359,36,4,2006,random,16.0,30.0,12.0,22.0,random,random,random,3,69,5,6,3,1,3,6,31,10,56,8,9,12,8,13,8,4,10,17,14,4,10,4,11,14,15,15,10,11,6,3,"[3.0, 2.0, 7.0, 4.0, 11.0, 10.0, 13.0, 9.0, 17.0, 13.0, 20.0, 10.0, 30.0, 16.0, 22.0, 12.0]"
1401021403,SeaSaltPaper,3,GAME_OVER,388,34,4,2007,random,33.0,18.0,8.0,13.0,random,random,random,8,76,4,6,2,2,4,7,31,5,71,7,11,13,11,16,10,5,5,16,20,7,5,2,21,18,14,18,8,12,7,2,"[6.0, 7.0, 5.0, 2.0, 9.0, 16.0, 7.0, 4.0, 15.0, 23.0, 11.0, 6.0, 18.0, 33.0, 13.0, 8.0]"
-762370467,SeaSaltPaper,3,GAME_OVER,351,27,4,2008,random,23.0,20.0,39.0,12.0,random,random,random,7,68,3,4,2,2,6,6,33,8,58,5,6,10,11,12,14,7,8,18,14,4,8,5,17,15,13,17,7,10,7,2,"[3.0, 3.0, 2.0, 12.0, 11.0, 5.0, 4.0, 18.0, 15.0, 15.0, 10.0, 25.0, 20.0, 23.0, 12.0, 39.0]"
1031690385,SeaSaltPaper,6,GAME_OVER,631,35,4,2009,random,30.0,40.0,25.0,31.0,random,random,random,10,121,8,6,1,6,4,14,58,17,124,15,18,18,19,34,20,12,17,27,33,9,17,10,35,34,25,29,17,19,15,3,"[1.0, 9.0, 4.0, 5.0, 11.0, 11.0, 7.0, 8.0, 20.0, 11.0, 10.0, 10.0, 22.0, 13.0, 20.0, 13.0, 25.0, 17.0, 22.0, 20.0, 28.0, 26.0, 27.0, 23.0, 40.0, 30.0, 31.0, 25.0]"
720613369,SeaSaltPaper,4,GAME_OVER,472,30,4,2010,random,24.0,23.0,31.0,23.0,random,random,random,7,89,8,6,3,2,7,10,43,11,88,9,11,16,14,23,15,8,11,21,24,7,11,6,23,24,20,19,9,18,13,2,"[9.0, 6.0, 6.0, 2.0, 13.0, 9.0, 11.0, 11.0, 16.0, 16.0, 15.0, 15.0, 20.0, 22.0, 19.0, 22.0, 23.0, 24.0, 23.0, 31.0]"
-1919035497,SeaSaltPaper,6,GAME_OVER,590,35,4,2011,random,28.0,37.0,30.0,23.0,random,random,random,7,111,6,6,4,3,7,12,58,15,112,12,20,20,15,21,19,14,15,33,28,13,15,9,34,30,20,28,13,19,12,4,"[10.0, 1.0, 2.0, 3.0, 20.0, 4.0, 7.0, 9.0, 21.0, 11.0, 9.0, 10.0, 22.0, 12.0, 11.0, 17.0, 25.0, 19.0, 15.0, 20.0, 27.0, 25.0, 21.0, 27.0, 37.0, 28.0, 23.0, 30.0]"
-468847025,SeaSaltPaper,5,GAME_OVER,561,33,4,2012,random,24.0,30.0,37.0,23.0,random,random,random,3,109,4,4,1,5,8,14,56,13,103,16,17,23,13,25,14,12,13,29,24,13,13,8,27,24,23,26,12,23,13,4,"[6.0, 2.0, 9.0, 3.0, 8.0, 4.0, 11.0, 16.0, 18.0, 7.0, 13.0, 20.0, 25.0, 10.0, 17.0, 23.0, 28.0, 21.0, 20.0, 26.0, 30.0, 24.0, 23.0, 37.0]"
-278271453,SeaSaltPaper,5,GAME_OVER,484,29,4,2013,random,34.0,31.0,32.0,26.0,random,random,random,6,94,4,3,6,0,5,11,39,14,97,10,11,9,16,17,18,8,14,28,30,11,14,4,28,24,17,23,11,20,6,3,"[12.0, 2.0, 5.0, 4.0, 16.0, 9.0, 9.0, 6.0, 19.0, 18.0, 15.0, 10.0, 23.0, 24.0, 22.0, 18.0, 26.0, 27.0, 25.0, 26.0, 31.0, 34.0, 26.0, 32.0]"
362472442,SeaSaltPaper,4,GAME_OVER,486,38,4,2014,random,34.0,24.0,22.0,27.0,random,random,random,7,93,6,4,2,3,5,10,42,10,90,10,13,15,14,23,16,7,10,22,22,9,10,5,29,20,20,19,9,19,10,2,"[5.0, 8.0, 7.0, 5.0, 15.0, 15.0, 11.0, 8.0, 19.0, 18.0, 14.0, 17.0, 21.0, 21.0, 24.0, 19.0, 24.0, 34.0, 27.0, 22.0]"
1766446454,SeaSaltPaper,4,GAME_OVER,516,37,4,2015,random,23.0,37.0,19.0,37.0,random,random,random,9,97,6,6,3,2,5,10,52,10,93,12,12,18,13,25,16,9,10,24,26,6,10,7,28,27,20,25,14,15,9,4,"[9.0, 4.0, 6.0, 3.0, 11.0, 6.0, 17.0, 5.0, 17.0, 13.0, 24.0, 11.0, 25.0, 19.0, 29.0, 16.0, 37.0, 23.0, 37.0, 19.0]"
