GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1022387316,SeaSaltPaper,7,GAME_OVER,412,18,4,3008,seasaltpaper-4P-32,30.0,30.0,14.0,29.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,51,2,2,1,7,2,10,26,6,49,7,10,9,7,11,10,6,6,10,15,5,6,3,16,10,12,13,7,12,6,1,"[1.0, 11.0, 2.0, 1.0, 8.0, 12.0, 3.0, 2.0, 10.0, 12.0, 13.0, 4.0, 17.0, 14.0, 14.0, 6.0, 27.0, 17.0, 15.0, 8.0, 29.0, 18.0, 21.0, 9.0, 29.0, 23.0, 27.0, 13.0, 30.0, 30.0, 29.0, 14.0]"
1401021403,SeaSaltPaper,8,GAME_OVER,454,18,4,3009,seasaltpaper-4P-32,29.0,24.0,35.0,25.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,55,2,2,2,7,0,6,27,5,65,9,9,12,9,19,5,5,5,8,22,6,5,4,19,16,15,18,6,10,4,0,"[6.0, 2.0, 2.0, 1.0, 8.0, 4.0, 4.0, 9.0, 9.0, 5.0, 5.0, 17.0, 10.0, 11.0, 6.0, 19.0, 13.0, 19.0, 11.0, 23.0, 15.0, 24.0, 14.0, 27.0, 17.0, 26.0, 22.0, 28.0, 23.0, 27.0, 23.0, 29.0, 24.0, 29.0, 25.0, 35.0]"
-762370467,SeaSaltPaper,6,GAME_OVER,347,7,4,3010,seasaltpaper-4P-32,30.0,16.0,21.0,18.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,0,41,1,2,2,5,4,6,22,1,54,7,8,4,9,8,8,6,1,21,11,7,1,5,16,12,12,9,6,9,4,2,"[2.0, 2.0, 9.0, 1.0, 5.0, 7.0, 11.0, 1.0, 6.0, 9.0, 12.0, 10.0, 9.0, 11.0, 14.0, 17.0, 10.0, 18.0, 15.0, 18.0, 15.0, 23.0, 17.0, 20.0, 16.0, 30.0, 18.0, 21.0]"
1031690385,SeaSaltPaper,8,GAME_OVER,470,13,4,3011,seasaltpaper-4P-32,25.0,21.0,33.0,29.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,0,58,0,4,5,4,2,9,30,8,59,10,13,5,11,8,12,9,8,15,15,8,8,6,20,16,6,10,7,13,9,3,"[2.0, 2.0, 6.0, 1.0, 4.0, 8.0, 7.0, 3.0, 5.0, 16.0, 8.0, 4.0, 8.0, 19.0, 12.0, 12.0, 15.0, 20.0, 14.0, 13.0, 18.0, 21.0, 14.0, 19.0, 19.0, 24.0, 18.0, 27.0, 20.0, 25.0, 25.0, 28.0, 21.0, 25.0, 29.0, 33.0]"
720613369,SeaSaltPaper,8,GAME_OVER,396,16,4,3012,seasaltpaper-4P-32,16.0,31.0,30.0,20.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,48,1,1,2,7,2,5,29,5,50,1,3,15,9,13,12,3,5,12,16,2,5,2,14,13,15,9,4,14,11,0,"[1.0, 7.0, 1.0, 1.0, 10.0, 10.0, 3.0, 2.0, 18.0, 11.0, 4.0, 4.0, 26.0, 12.0, 6.0, 5.0, 26.0, 12.0, 11.0, 5.0, 27.0, 13.0, 18.0, 7.0, 28.0, 14.0, 19.0, 16.0, 29.0, 15.0, 20.0, 24.0, 31.0, 16.0, 20.0, 30.0]"
-1919035497,SeaSaltPaper,5,GAME_OVER,319,26,4,3013,seasaltpaper-4P-32,17.0,33.0,20.0,16.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,39,3,1,1,5,1,2,19,6,36,4,6,7,4,9,7,1,6,11,8,2,6,3,9,7,9,15,4,4,4,0,"[4.0, 2.0, 7.0, 3.0, 5.0, 4.0, 8.0, 10.0, 12.0, 4.0, 10.0, 15.0, 18.0, 6.0, 11.0, 16.0, 24.0, 7.0, 13.0, 18.0, 33.0, 17.0, 16.0, 20.0]"
-468847025,SeaSaltPaper,7,GAME_OVER,376,17,4,3014,seasaltpaper-4P-32,21.0,30.0,28.0,16.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,0,44,2,3,1,7,3,4,24,7,50,3,7,9,9,10,12,1,7,14,13,3,7,2,16,8,8,10,8,13,9,1,"[3.0, 1.0, 2.0, 6.0, 9.0, 2.0, 3.0, 7.0, 17.0, 3.0, 4.0, 9.0, 18.0, 4.0, 10.0, 11.0, 19.0, 12.0, 12.0, 12.0, 20.0, 19.0, 13.0, 14.0, 23.0, 21.0, 14.0, 24.0, 30.0, 21.0, 16.0, 28.0]"
-278271453,SeaSaltPaper,10,GAME_OVER,564,21,4,3015,seasaltpaper-4P-32,26.0,29.0,33.0,25.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,69,2,3,0,11,3,11,34,10,73,6,9,17,9,20,9,5,10,26,17,5,10,3,23,18,15,18,14,11,10,1,"[1.0, 1.0, 1.0, 6.0, 2.0, 2.0, 9.0, 7.0, 3.0, 9.0, 11.0, 9.0, 10.0, 11.0, 13.0, 10.0, 16.0, 12.0, 14.0, 11.0, 17.0, 14.0, 15.0, 18.0, 17.0, 15.0, 22.0, 19.0, 18.0, 21.0, 23.0, 20.0, 25.0, 22.0, 24.0, 21.0, 26.0, 23.0, 25.0, 27.0, 29.0, 26.0, 25.0, 33.0]"
362472442,SeaSaltPaper,4,GAME_OVER,248,19,4,3016,seasaltpaper-4P-32,6.0,13.0,5.0,31.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,29,3,2,0,5,1,1,14,5,32,5,5,6,5,8,3,0,5,5,10,1,5,2,9,7,6,10,4,2,6,0,"[7.0, 1.0, 1.0, 1.0, 9.0, 2.0, 7.0, 2.0, 11.0, 4.0, 16.0, 3.0, 12.0, 5.0, 24.0, 4.0, 13.0, 6.0, 31.0, 5.0]"
1766446454,SeaSaltPaper,9,GAME_OVER,492,12,4,3017,seasaltpaper-4P-32,35.0,29.0,27.0,28.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,58,2,4,2,8,4,10,27,10,71,8,8,11,9,16,8,5,10,19,24,6,10,2,16,21,12,20,10,14,6,1,"[1.0, 1.0, 7.0, 3.0, 4.0, 1.0, 8.0, 8.0, 6.0, 8.0, 10.0, 10.0, 7.0, 16.0, 12.0, 12.0, 17.0, 18.0, 15.0, 14.0, 18.0, 19.0, 16.0, 23.0, 19.0, 20.0, 22.0, 24.0, 26.0, 22.0, 25.0, 26.0, 27.0, 28.0, 26.0, 27.0, 29.0, 35.0, 28.0, 27.0]"
