GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
802554088,SeaSaltPaper,5,GAME_OVER,437,30,4,4511,seasaltpaper-4P-32,29.0,34.0,17.0,35.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,89,4,5,1,5,5,13,40,13,71,8,9,16,12,19,14,9,13,21,16,9,13,2,22,24,16,16,10,13,9,3,"[10.0, 3.0, 2.0, 3.0, 12.0, 5.0, 14.0, 5.0, 24.0, 8.0, 17.0, 9.0, 26.0, 18.0, 20.0, 11.0, 29.0, 26.0, 24.0, 14.0, 34.0, 29.0, 35.0, 17.0]"
802554088,SeaSaltPaper,4,GAME_OVER,368,30,4,4512,seasaltpaper-4P-32,19.0,27.0,31.0,13.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,74,3,6,0,5,7,9,37,7,53,9,9,18,9,8,6,9,7,17,14,9,7,6,24,14,10,10,8,8,7,3,"[4.0, 8.0, 2.0, 6.0, 6.0, 10.0, 5.0, 15.0, 14.0, 13.0, 7.0, 18.0, 24.0, 17.0, 10.0, 21.0, 27.0, 19.0, 13.0, 31.0]"
802554088,SeaSaltPaper,4,GAME_OVER,408,40,4,4513,seasaltpaper-4P-32,34.0,28.0,24.0,19.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,9,83,4,6,1,4,7,11,32,9,59,12,7,13,8,13,5,8,9,20,16,8,9,6,24,19,9,11,7,9,6,3,"[9.0, 2.0, 2.0, 3.0, 17.0, 6.0, 10.0, 8.0, 19.0, 14.0, 12.0, 9.0, 20.0, 27.0, 15.0, 11.0, 28.0, 34.0, 19.0, 24.0]"
802554088,SeaSaltPaper,4,GAME_OVER,361,27,4,4514,seasaltpaper-4P-32,30.0,21.0,18.0,25.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,73,4,7,1,4,3,11,38,9,53,10,7,17,8,9,9,7,9,19,16,8,9,4,22,16,6,10,11,13,9,3,"[10.0, 3.0, 2.0, 3.0, 11.0, 7.0, 11.0, 9.0, 14.0, 19.0, 13.0, 13.0, 16.0, 21.0, 21.0, 15.0, 21.0, 30.0, 25.0, 18.0]"
802554088,SeaSaltPaper,4,GAME_OVER,320,28,4,4515,seasaltpaper-4P-32,14.0,32.0,26.0,20.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,61,3,5,2,3,5,7,27,10,52,6,5,11,8,10,7,8,10,16,15,4,10,2,12,17,13,15,5,9,5,4,"[3.0, 5.0, 7.0, 5.0, 4.0, 6.0, 9.0, 17.0, 15.0, 9.0, 11.0, 20.0, 25.0, 11.0, 14.0, 23.0, 32.0, 14.0, 20.0, 26.0]"
802554088,SeaSaltPaper,4,GAME_OVER,397,28,4,4516,seasaltpaper-4P-32,16.0,14.0,31.0,32.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,79,5,8,1,4,7,10,33,11,68,13,10,13,10,13,8,6,11,19,19,10,11,5,23,19,12,13,6,11,10,2,"[2.0, 2.0, 2.0, 10.0, 4.0, 6.0, 12.0, 12.0, 7.0, 11.0, 15.0, 21.0, 11.0, 14.0, 20.0, 29.0, 14.0, 16.0, 32.0, 31.0]"
802554088,SeaSaltPaper,5,GAME_OVER,446,28,4,4517,seasaltpaper-4P-32,29.0,36.0,17.0,28.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,86,4,8,3,3,8,12,45,10,76,13,11,19,14,16,10,8,10,26,16,10,10,7,24,22,15,15,11,14,13,2,"[5.0, 8.0, 4.0, 3.0, 8.0, 10.0, 12.0, 5.0, 12.0, 12.0, 20.0, 8.0, 17.0, 21.0, 21.0, 10.0, 29.0, 23.0, 24.0, 13.0, 36.0, 29.0, 28.0, 17.0]"
802554088,SeaSaltPaper,4,GAME_OVER,435,34,4,4518,seasaltpaper-4P-32,24.0,25.0,19.0,32.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,6,84,4,7,0,5,8,12,42,11,67,12,8,18,8,18,12,6,11,22,17,8,11,5,23,19,11,17,9,16,11,2,"[2.0, 2.0, 11.0, 1.0, 11.0, 4.0, 14.0, 4.0, 18.0, 12.0, 18.0, 10.0, 22.0, 15.0, 28.0, 15.0, 25.0, 24.0, 32.0, 19.0]"
802554088,SeaSaltPaper,3,GAME_OVER,334,33,4,4519,seasaltpaper-4P-32,12.0,31.0,23.0,11.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,66,3,5,0,4,8,6,34,7,43,9,6,15,8,7,9,4,7,16,9,5,7,4,16,14,6,7,8,13,8,2,"[2.0, 2.0, 3.0, 10.0, 11.0, 3.0, 5.0, 12.0, 21.0, 4.0, 8.0, 17.0, 31.0, 12.0, 11.0, 23.0]"
802554088,SeaSaltPaper,4,GAME_OVER,373,21,4,4520,seasaltpaper-4P-32,30.0,28.0,21.0,21.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,6,77,2,6,1,4,6,9,38,13,61,10,8,16,10,13,9,7,13,16,19,7,13,6,18,19,13,14,8,12,8,3,"[10.0, 4.0, 8.0, 3.0, 16.0, 11.0, 13.0, 6.0, 18.0, 14.0, 15.0, 17.0, 26.0, 21.0, 19.0, 19.0, 28.0, 30.0, 21.0, 21.0]"
