GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
-1547888771,Wonders7,18,GAME_OVER,72,0,4,2,mcts1,33.0,37.0,26.0,39.0,mcts1,mcts1,mcts1,0,24,47,1,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,ThePyramidsOfGiza,12,4,10,11,2,7,1,6,0,4,1,4,0,1,0,21,1,0,5,0,3,0,0,100,0,0,0,1,81,"[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 6.0, 2.0, 3.0, 5.0, 7.0, 4.0, 2.0, 7.0, 4.0, 5.0, 3.0, 12.0, 5.0, 7.0, 5.0, 14.0, 10.0, 7.0, 6.0, 18.0, 10.0, 7.0, 5.0, 18.0, 9.0, 10.0, 8.0, 19.0, 10.0, 13.0, 15.0, 24.0, 17.0, 19.0, 22.0, 22.0, 18.0, 24.0, 23.0, 28.0, 24.0, 30.0, 27.0, 27.0, 26.0, 31.0, 28.0, 28.0, 27.0, 32.0, 34.0, 29.0, 28.0, 37.0, 33.0, 39.0, 26.0]"
1410071982,Wonders7,18,GAME_OVER,72,0,4,3,mcts1,25.0,39.0,31.0,45.0,mcts1,mcts1,mcts1,0,36,36,0,TheHangingGardensOfBabylon,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,11,0,9,7,2,4,3,3,0,2,0,3,0,1,0,16,1,1,4,0,0,0,0,127,0,0,3,0,74,"[1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 8.0, 1.0, 3.0, 3.0, 11.0, 2.0, 6.0, 2.0, 12.0, 3.0, 7.0, 3.0, 13.0, 4.0, 7.0, 8.0, 9.0, 6.0, 5.0, 11.0, 8.0, 8.0, 6.0, 12.0, 8.0, 8.0, 7.0, 13.0, 13.0, 11.0, 8.0, 14.0, 12.0, 10.0, 11.0, 15.0, 14.0, 12.0, 22.0, 18.0, 27.0, 13.0, 27.0, 16.0, 30.0, 19.0, 25.0, 17.0, 35.0, 24.0, 27.0, 19.0, 36.0, 31.0, 28.0, 20.0, 40.0, 32.0, 29.0, 21.0, 41.0, 33.0, 39.0, 25.0, 45.0, 31.0]"
207852801,Wonders7,18,GAME_OVER,72,0,4,4,mcts1,34.0,43.0,31.0,49.0,mcts1,mcts1,mcts1,0,17,54,1,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,12,3,12,8,4,7,8,4,0,4,2,4,0,0,0,25,1,0,3,0,2,2,0,70,1,0,3,3,81,"[1.0, 2.0, 1.0, 1.0, 2.0, 3.0, 1.0, 2.0, 5.0, 3.0, 2.0, 3.0, 5.0, 6.0, 3.0, 4.0, 8.0, 7.0, 6.0, 4.0, 8.0, 7.0, 7.0, 5.0, 11.0, 11.0, 7.0, 4.0, 11.0, 12.0, 7.0, 3.0, 12.0, 11.0, 7.0, 4.0, 12.0, 11.0, 7.0, 5.0, 15.0, 12.0, 11.0, 5.0, 15.0, 13.0, 12.0, 6.0, 14.0, 19.0, 16.0, 9.0, 21.0, 23.0, 24.0, 9.0, 26.0, 29.0, 29.0, 14.0, 29.0, 31.0, 33.0, 20.0, 32.0, 34.0, 38.0, 27.0, 33.0, 36.0, 39.0, 33.0, 43.0, 34.0, 49.0, 31.0]"
-1904150696,Wonders7,18,GAME_OVER,72,0,4,5,mcts1,31.0,33.0,40.0,50.0,mcts1,mcts1,mcts1,0,14,56,2,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheColossusOfRhodes,TheHangingGardensOfBabylon,13,3,12,10,3,10,5,5,0,3,1,5,0,1,0,25,1,1,3,1,1,1,0,69,1,0,1,3,85,"[2.0, 1.0, 0.0, 1.0, 5.0, 1.0, 3.0, 1.0, 5.0, 2.0, 3.0, 2.0, 6.0, 3.0, 3.0, 3.0, 7.0, 2.0, 3.0, 3.0, 7.0, 5.0, 3.0, 2.0, 5.0, 11.0, 3.0, 4.0, 6.0, 12.0, 5.0, 4.0, 5.0, 13.0, 10.0, 5.0, 7.0, 16.0, 10.0, 3.0, 8.0, 17.0, 13.0, 5.0, 7.0, 17.0, 16.0, 8.0, 6.0, 18.0, 24.0, 17.0, 10.0, 17.0, 28.0, 20.0, 18.0, 16.0, 32.0, 29.0, 20.0, 20.0, 41.0, 28.0, 22.0, 21.0, 47.0, 33.0, 28.0, 26.0, 52.0, 36.0, 33.0, 31.0, 50.0, 40.0]"
-644544067,Wonders7,18,GAME_OVER,72,0,4,6,mcts1,43.0,40.0,38.0,45.0,mcts1,mcts1,mcts1,0,16,54,2,TheColossusOfRhodes,ThePyramidsOfGiza,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,12,3,11,10,4,7,7,5,0,2,2,4,0,1,0,22,1,1,4,1,1,3,0,70,0,0,3,1,88,"[1.0, 1.0, 2.0, 4.0, 0.0, 1.0, 2.0, 4.0, 0.0, 1.0, 5.0, 5.0, 3.0, 1.0, 6.0, 5.0, 4.0, 1.0, 7.0, 5.0, 5.0, 2.0, 8.0, 5.0, 5.0, 4.0, 9.0, 4.0, 4.0, 6.0, 7.0, 5.0, 3.0, 10.0, 7.0, 10.0, 5.0, 10.0, 10.0, 13.0, 6.0, 9.0, 11.0, 13.0, 7.0, 12.0, 12.0, 14.0, 16.0, 16.0, 23.0, 16.0, 22.0, 18.0, 30.0, 19.0, 27.0, 25.0, 31.0, 27.0, 32.0, 27.0, 35.0, 32.0, 35.0, 34.0, 38.0, 37.0, 36.0, 39.0, 35.0, 40.0, 40.0, 43.0, 45.0, 38.0]"
-1811427919,Wonders7,18,GAME_OVER,72,0,4,7,mcts1,35.0,32.0,36.0,39.0,mcts1,mcts1,mcts1,0,21,48,3,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,14,2,12,11,3,6,0,5,0,5,1,3,0,1,0,24,2,1,3,1,1,0,0,72,0,0,0,0,93,"[2.0, 4.0, 2.0, 1.0, 3.0, 4.0, 2.0, 2.0, 4.0, 5.0, 2.0, 5.0, 4.0, 6.0, 2.0, 4.0, 3.0, 5.0, 3.0, 7.0, 3.0, 5.0, 3.0, 10.0, 4.0, 6.0, 2.0, 15.0, 3.0, 7.0, 3.0, 16.0, 7.0, 8.0, 7.0, 15.0, 8.0, 7.0, 7.0, 19.0, 9.0, 11.0, 7.0, 19.0, 9.0, 12.0, 7.0, 19.0, 13.0, 22.0, 8.0, 25.0, 20.0, 27.0, 16.0, 25.0, 20.0, 28.0, 25.0, 28.0, 22.0, 35.0, 27.0, 34.0, 26.0, 36.0, 28.0, 36.0, 27.0, 37.0, 29.0, 37.0, 32.0, 35.0, 39.0, 36.0]"
32818310,Wonders7,18,GAME_OVER,72,0,4,8,mcts1,41.0,22.0,37.0,49.0,mcts1,mcts1,mcts1,0,12,58,2,TheMausoleumOfHalicarnassus,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,12,2,13,12,2,8,9,6,0,5,1,5,0,0,0,27,1,1,3,1,2,4,0,65,1,0,1,4,76,"[2.0, 1.0, 2.0, 1.0, 5.0, 1.0, 2.0, 2.0, 5.0, 0.0, 5.0, 2.0, 8.0, 3.0, 6.0, 3.0, 8.0, 3.0, 6.0, 4.0, 8.0, 3.0, 7.0, 5.0, 7.0, 5.0, 5.0, 6.0, 6.0, 6.0, 4.0, 9.0, 7.0, 5.0, 13.0, 9.0, 10.0, 8.0, 11.0, 8.0, 11.0, 8.0, 11.0, 10.0, 16.0, 11.0, 12.0, 11.0, 14.0, 17.0, 21.0, 21.0, 15.0, 25.0, 25.0, 19.0, 14.0, 33.0, 34.0, 22.0, 15.0, 33.0, 41.0, 26.0, 16.0, 33.0, 46.0, 28.0, 17.0, 36.0, 51.0, 33.0, 22.0, 41.0, 49.0, 37.0]"
-1889501054,Wonders7,18,GAME_OVER,72,0,4,9,mcts1,37.0,41.0,22.0,56.0,mcts1,mcts1,mcts1,0,21,50,1,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,13,3,9,8,4,7,6,4,0,2,1,3,0,0,0,19,3,1,3,1,2,1,0,86,0,0,4,1,84,"[0.0, 4.0, 1.0, 0.0, 0.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 1.0, 5.0, 4.0, 3.0, 1.0, 6.0, 7.0, 6.0, 2.0, 7.0, 7.0, 7.0, 5.0, 6.0, 10.0, 6.0, 8.0, 8.0, 11.0, 5.0, 8.0, 9.0, 11.0, 6.0, 10.0, 12.0, 16.0, 6.0, 12.0, 12.0, 16.0, 6.0, 13.0, 12.0, 16.0, 7.0, 20.0, 12.0, 25.0, 11.0, 25.0, 19.0, 33.0, 16.0, 26.0, 25.0, 37.0, 18.0, 29.0, 30.0, 42.0, 21.0, 30.0, 31.0, 45.0, 23.0, 31.0, 39.0, 46.0, 24.0, 41.0, 37.0, 56.0, 22.0]"
1231580357,Wonders7,18,GAME_OVER,72,0,4,10,mcts1,30.0,30.0,45.0,37.0,mcts1,mcts1,mcts1,0,19,51,2,TheHangingGardensOfBabylon,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheMausoleumOfHalicarnassus,12,2,12,12,2,5,6,7,0,3,1,5,0,0,0,25,1,1,5,1,1,3,0,78,0,0,2,1,83,"[1.0, 1.0, 4.0, 0.0, 1.0, 1.0, 5.0, 1.0, 4.0, 4.0, 6.0, 1.0, 4.0, 5.0, 7.0, 4.0, 5.0, 6.0, 8.0, 4.0, 6.0, 6.0, 8.0, 5.0, 6.0, 8.0, 7.0, 5.0, 6.0, 8.0, 7.0, 7.0, 11.0, 9.0, 8.0, 7.0, 12.0, 9.0, 8.0, 6.0, 11.0, 9.0, 10.0, 6.0, 12.0, 13.0, 11.0, 10.0, 16.0, 21.0, 7.0, 19.0, 21.0, 24.0, 14.0, 19.0, 26.0, 23.0, 15.0, 27.0, 29.0, 24.0, 15.0, 34.0, 30.0, 25.0, 21.0, 39.0, 32.0, 26.0, 27.0, 41.0, 30.0, 30.0, 37.0, 45.0]"
-1627391868,Wonders7,18,GAME_OVER,73,0,4,11,mcts1,43.0,23.0,52.0,39.0,mcts1,mcts1,mcts1,0,15,54,4,TheTempleOfArtemisInEphesus,TheStatueOfZeusInOlympia,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,14,3,12,12,5,5,3,3,0,6,1,5,0,1,1,24,3,1,4,0,2,1,0,67,0,0,0,2,99,"[1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 2.0, 4.0, 1.0, 3.0, 3.0, 7.0, 2.0, 3.0, 3.0, 7.0, 1.0, 6.0, 3.0, 10.0, 2.0, 6.0, 4.0, 10.0, 1.0, 8.0, 1.0, 13.0, 2.0, 7.0, 2.0, 15.0, 6.0, 8.0, 3.0, 20.0, 7.0, 8.0, 6.0, 20.0, 11.0, 8.0, 5.0, 21.0, 14.0, 9.0, 8.0, 21.0, 17.0, 20.0, 17.0, 28.0, 17.0, 22.0, 19.0, 35.0, 17.0, 29.0, 26.0, 38.0, 22.0, 30.0, 32.0, 39.0, 23.0, 32.0, 36.0, 39.0, 25.0, 33.0, 41.0, 42.0, 23.0, 43.0, 39.0, 52.0]"
