GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
-1547888771,Wonders7,18,GAME_OVER,72,0,4,1004,wonders7-4P-128,38.0,37.0,41.0,44.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,16,54,2,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,ThePyramidsOfGiza,12,5,9,13,3,5,7,4,0,6,1,4,0,1,0,18,2,1,5,1,3,3,0,78,1,0,1,3,83,"[2.0, 1.0, 1.0, 4.0, 5.0, 1.0, 1.0, 4.0, 5.0, 1.0, 2.0, 7.0, 8.0, 2.0, 2.0, 8.0, 9.0, 3.0, 1.0, 8.0, 9.0, 4.0, 1.0, 7.0, 7.0, 4.0, 3.0, 10.0, 7.0, 5.0, 4.0, 10.0, 8.0, 6.0, 3.0, 13.0, 13.0, 7.0, 3.0, 17.0, 12.0, 10.0, 3.0, 17.0, 13.0, 9.0, 7.0, 17.0, 16.0, 15.0, 19.0, 21.0, 23.0, 21.0, 22.0, 26.0, 31.0, 20.0, 22.0, 32.0, 36.0, 21.0, 27.0, 37.0, 38.0, 29.0, 32.0, 36.0, 39.0, 34.0, 34.0, 37.0, 37.0, 38.0, 44.0, 41.0]"
1410071982,Wonders7,18,GAME_OVER,72,0,4,1005,wonders7-4P-128,39.0,47.0,40.0,52.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,10,61,1,TheHangingGardensOfBabylon,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,13,5,12,11,6,7,7,5,0,4,2,4,0,1,1,24,2,1,3,1,2,2,1,55,0,0,4,1,87,"[1.0, 4.0, 4.0, 2.0, 1.0, 4.0, 4.0, 2.0, 1.0, 4.0, 7.0, 2.0, 2.0, 5.0, 6.0, 2.0, 6.0, 5.0, 6.0, 3.0, 5.0, 5.0, 7.0, 3.0, 8.0, 6.0, 7.0, 7.0, 8.0, 5.0, 8.0, 6.0, 12.0, 10.0, 9.0, 9.0, 13.0, 10.0, 8.0, 9.0, 16.0, 11.0, 8.0, 9.0, 16.0, 14.0, 8.0, 10.0, 23.0, 17.0, 22.0, 17.0, 29.0, 17.0, 28.0, 21.0, 32.0, 17.0, 35.0, 21.0, 36.0, 23.0, 36.0, 29.0, 43.0, 26.0, 40.0, 33.0, 49.0, 35.0, 42.0, 36.0, 47.0, 39.0, 52.0, 40.0]"
207852801,Wonders7,18,GAME_OVER,72,0,4,1006,wonders7-4P-128,45.0,37.0,40.0,38.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,18,54,0,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,12,4,10,12,4,7,5,6,0,4,2,5,0,0,0,19,2,1,3,1,2,1,1,85,1,0,3,1,82,"[4.0, 2.0, 4.0, 1.0, 4.0, 2.0, 4.0, 1.0, 4.0, 2.0, 7.0, 1.0, 4.0, 2.0, 7.0, 2.0, 5.0, 1.0, 8.0, 3.0, 6.0, 1.0, 8.0, 5.0, 8.0, 0.0, 8.0, 6.0, 9.0, 0.0, 13.0, 6.0, 11.0, 0.0, 14.0, 5.0, 12.0, 4.0, 15.0, 8.0, 12.0, 5.0, 16.0, 8.0, 15.0, 6.0, 16.0, 9.0, 20.0, 21.0, 20.0, 22.0, 25.0, 26.0, 25.0, 24.0, 32.0, 34.0, 31.0, 23.0, 33.0, 33.0, 37.0, 24.0, 38.0, 34.0, 39.0, 25.0, 39.0, 35.0, 40.0, 30.0, 37.0, 45.0, 38.0, 40.0]"
-1904150696,Wonders7,18,GAME_OVER,72,0,4,1007,wonders7-4P-128,40.0,46.0,35.0,38.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,22,50,0,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheColossusOfRhodes,TheHangingGardensOfBabylon,10,5,10,8,3,8,6,4,0,5,2,4,0,1,0,20,1,0,1,1,2,1,1,102,1,0,2,3,72,"[1.0, 4.0, 2.0, 4.0, 2.0, 3.0, 2.0, 7.0, 2.0, 3.0, 1.0, 8.0, 2.0, 4.0, 2.0, 8.0, 3.0, 5.0, 2.0, 9.0, 3.0, 6.0, 4.0, 9.0, 5.0, 5.0, 5.0, 10.0, 12.0, 4.0, 6.0, 11.0, 15.0, 4.0, 7.0, 12.0, 15.0, 4.0, 7.0, 17.0, 15.0, 6.0, 8.0, 18.0, 16.0, 6.0, 7.0, 22.0, 25.0, 14.0, 16.0, 25.0, 28.0, 22.0, 18.0, 28.0, 35.0, 29.0, 20.0, 34.0, 40.0, 35.0, 26.0, 35.0, 41.0, 36.0, 27.0, 36.0, 42.0, 36.0, 28.0, 37.0, 46.0, 40.0, 38.0, 35.0]"
-644544067,Wonders7,18,GAME_OVER,72,0,4,1008,wonders7-4P-128,39.0,35.0,44.0,44.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,9,62,1,TheColossusOfRhodes,ThePyramidsOfGiza,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,13,5,10,15,4,8,7,5,0,7,2,6,0,1,0,18,2,1,3,1,2,3,1,60,0,0,0,4,88,"[1.0, 2.0, 4.0, 1.0, 2.0, 2.0, 4.0, 2.0, 1.0, 5.0, 4.0, 2.0, 4.0, 5.0, 3.0, 2.0, 5.0, 5.0, 4.0, 2.0, 5.0, 5.0, 4.0, 2.0, 9.0, 4.0, 8.0, 2.0, 8.0, 4.0, 8.0, 2.0, 11.0, 9.0, 11.0, 2.0, 15.0, 10.0, 11.0, 4.0, 16.0, 10.0, 10.0, 8.0, 19.0, 9.0, 10.0, 8.0, 18.0, 17.0, 15.0, 21.0, 24.0, 23.0, 22.0, 21.0, 25.0, 25.0, 29.0, 26.0, 31.0, 26.0, 38.0, 31.0, 32.0, 27.0, 41.0, 32.0, 37.0, 29.0, 46.0, 34.0, 35.0, 39.0, 44.0, 44.0]"
-1811427919,Wonders7,18,GAME_OVER,72,0,4,1009,wonders7-4P-128,46.0,39.0,48.0,36.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,12,57,3,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,12,5,8,10,3,6,13,5,0,3,2,5,0,1,1,14,2,0,3,1,3,4,0,55,1,0,4,5,87,"[2.0, 2.0, 1.0, 1.0, 5.0, 2.0, 2.0, 1.0, 6.0, 2.0, 2.0, 2.0, 6.0, 5.0, 2.0, 3.0, 5.0, 8.0, 3.0, 6.0, 6.0, 8.0, 3.0, 6.0, 6.0, 12.0, 2.0, 11.0, 7.0, 15.0, 3.0, 9.0, 8.0, 20.0, 3.0, 9.0, 11.0, 21.0, 6.0, 9.0, 13.0, 20.0, 6.0, 9.0, 13.0, 24.0, 9.0, 9.0, 16.0, 31.0, 15.0, 18.0, 23.0, 35.0, 21.0, 27.0, 30.0, 36.0, 27.0, 33.0, 36.0, 37.0, 30.0, 35.0, 39.0, 37.0, 31.0, 39.0, 41.0, 36.0, 38.0, 38.0, 39.0, 46.0, 36.0, 48.0]"
32818310,Wonders7,18,GAME_OVER,73,0,4,1010,wonders7-4P-128,35.0,41.0,35.0,39.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,9,61,3,TheMausoleumOfHalicarnassus,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,10,5,12,14,5,8,7,4,0,6,2,5,0,1,1,24,3,1,5,1,2,4,1,61,0,0,2,1,75,"[2.0, 4.0, 1.0, 1.0, 2.0, 4.0, 2.0, 4.0, 2.0, 7.0, 3.0, 4.0, 1.0, 7.0, 3.0, 4.0, 1.0, 8.0, 3.0, 4.0, 1.0, 7.0, 3.0, 6.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 6.0, 3.0, 7.0, 9.0, 10.0, 6.0, 7.0, 9.0, 10.0, 6.0, 8.0, 9.0, 10.0, 6.0, 12.0, 9.0, 11.0, 7.0, 22.0, 11.0, 19.0, 12.0, 23.0, 20.0, 24.0, 12.0, 29.0, 20.0, 24.0, 16.0, 32.0, 24.0, 26.0, 21.0, 40.0, 25.0, 26.0, 27.0, 43.0, 31.0, 29.0, 31.0, 41.0, 35.0, 39.0, 35.0]"
-1889501054,Wonders7,18,GAME_OVER,72,0,4,1011,wonders7-4P-128,47.0,50.0,31.0,44.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,8,63,1,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,13,5,11,13,5,5,11,4,0,4,2,6,0,1,1,25,3,1,4,1,2,3,0,52,1,0,3,5,80,"[1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 2.0, 4.0, 2.0, 5.0, 2.0, 7.0, 3.0, 5.0, 2.0, 7.0, 3.0, 6.0, 3.0, 7.0, 4.0, 9.0, 3.0, 6.0, 10.0, 11.0, 4.0, 10.0, 13.0, 11.0, 4.0, 9.0, 13.0, 16.0, 4.0, 10.0, 16.0, 19.0, 4.0, 10.0, 15.0, 19.0, 4.0, 11.0, 16.0, 18.0, 4.0, 11.0, 24.0, 16.0, 20.0, 11.0, 30.0, 25.0, 26.0, 12.0, 30.0, 30.0, 26.0, 18.0, 34.0, 35.0, 26.0, 24.0, 38.0, 43.0, 34.0, 26.0, 46.0, 49.0, 37.0, 26.0, 50.0, 47.0, 44.0, 31.0]"
1231580357,Wonders7,18,GAME_OVER,72,0,4,1012,wonders7-4P-128,36.0,44.0,33.0,38.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,13,58,1,TheHangingGardensOfBabylon,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheMausoleumOfHalicarnassus,11,4,12,10,4,8,9,3,0,3,2,5,0,0,1,25,1,1,4,1,2,3,0,64,1,0,2,4,76,"[1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0, 7.0, 2.0, 1.0, 1.0, 7.0, 2.0, 4.0, 2.0, 7.0, 2.0, 3.0, 3.0, 7.0, 3.0, 4.0, 4.0, 6.0, 6.0, 4.0, 7.0, 7.0, 6.0, 4.0, 9.0, 7.0, 7.0, 5.0, 9.0, 13.0, 10.0, 4.0, 12.0, 14.0, 11.0, 5.0, 12.0, 14.0, 12.0, 8.0, 25.0, 18.0, 20.0, 6.0, 31.0, 23.0, 22.0, 8.0, 33.0, 30.0, 24.0, 14.0, 38.0, 31.0, 28.0, 16.0, 40.0, 30.0, 34.0, 22.0, 45.0, 31.0, 40.0, 23.0, 44.0, 36.0, 38.0, 33.0]"
-1627391868,Wonders7,18,GAME_OVER,72,0,4,1013,wonders7-4P-128,44.0,39.0,42.0,39.0,wonders7-4P-128,wonders7-4P-128,wonders7-4P-128,0,20,52,0,TheTempleOfArtemisInEphesus,TheStatueOfZeusInOlympia,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,12,2,8,10,3,10,7,4,0,3,1,5,0,0,0,15,2,1,1,1,2,2,1,86,1,0,3,2,80,"[4.0, 2.0, 1.0, 2.0, 5.0, 2.0, 2.0, 1.0, 5.0, 2.0, 2.0, 4.0, 5.0, 2.0, 3.0, 4.0, 5.0, 1.0, 3.0, 7.0, 5.0, 2.0, 4.0, 8.0, 4.0, 3.0, 2.0, 9.0, 5.0, 5.0, 9.0, 11.0, 5.0, 6.0, 10.0, 12.0, 11.0, 8.0, 10.0, 12.0, 14.0, 11.0, 10.0, 14.0, 14.0, 11.0, 11.0, 18.0, 13.0, 22.0, 10.0, 22.0, 20.0, 25.0, 15.0, 29.0, 25.0, 25.0, 18.0, 30.0, 28.0, 32.0, 20.0, 32.0, 34.0, 33.0, 25.0, 37.0, 35.0, 34.0, 35.0, 44.0, 39.0, 44.0, 39.0, 42.0]"
