GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
-190543684,Wonders7,18,GAME_OVER,72,0,4,2,SimultaneousOSLAPlayer,36.0,27.0,30.0,34.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,9,61,2,TheMausoleumOfHalicarnassus,TheLighthouseOfAlexandria,TheHangingGardensOfBabylon,TheStatueOfZeusInOlympia,11,5,13,12,4,8,8,4,0,6,2,6,0,1,1,27,3,0,4,0,2,4,1,40,1,0,2,2,74,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 2.0, 2.0, 5.0, 3.0, 3.0, 5.0, 8.0, 3.0, 4.0, 5.0, 8.0, 3.0, 5.0, 5.0, 8.0, 4.0, 6.0, 4.0, 7.0, 4.0, 6.0, 9.0, 12.0, 4.0, 5.0, 12.0, 17.0, 4.0, 6.0, 12.0, 17.0, 4.0, 5.0, 12.0, 17.0, 5.0, 5.0, 13.0, 17.0, 6.0, 4.0, 11.0, 25.0, 12.0, 10.0, 11.0, 31.0, 13.0, 17.0, 12.0, 33.0, 18.0, 19.0, 13.0, 35.0, 18.0, 23.0, 16.0, 36.0, 21.0, 28.0, 17.0, 38.0, 24.0, 32.0, 27.0, 36.0, 34.0, 30.0]"
895422635,Wonders7,18,GAME_OVER,72,0,4,3,SimultaneousOSLAPlayer,26.0,26.0,35.0,38.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,9,63,0,TheStatueOfZeusInOlympia,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,TheLighthouseOfAlexandria,13,5,13,14,5,8,5,6,0,6,2,5,0,0,1,27,3,1,4,1,2,1,1,38,1,0,1,3,74,"[4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 2.0, 7.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0, 4.0, 7.0, 4.0, 3.0, 5.0, 7.0, 4.0, 4.0, 4.0, 7.0, 4.0, 4.0, 3.0, 12.0, 5.0, 5.0, 4.0, 16.0, 4.0, 5.0, 7.0, 21.0, 4.0, 5.0, 7.0, 20.0, 4.0, 5.0, 9.0, 20.0, 5.0, 5.0, 8.0, 25.0, 5.0, 7.0, 13.0, 31.0, 8.0, 8.0, 14.0, 37.0, 8.0, 13.0, 19.0, 38.0, 17.0, 14.0, 20.0, 39.0, 26.0, 16.0, 22.0, 40.0, 31.0, 26.0, 26.0, 38.0, 35.0]"
-831773592,Wonders7,18,GAME_OVER,74,0,4,4,SimultaneousOSLAPlayer,37.0,35.0,27.0,37.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,13,58,3,TheStatueOfZeusInOlympia,TheMausoleumOfHalicarnassus,TheColossusOfRhodes,TheLighthouseOfAlexandria,12,6,11,12,6,6,5,1,0,7,3,6,0,1,1,21,3,1,4,0,2,2,0,47,1,0,1,2,86,"[1.0, 1.0, 1.0, 2.0, 4.0, 1.0, 0.0, 5.0, 4.0, 4.0, 0.0, 5.0, 7.0, 4.0, 0.0, 5.0, 7.0, 4.0, 0.0, 5.0, 9.0, 4.0, 1.0, 5.0, 9.0, 6.0, 0.0, 6.0, 8.0, 6.0, 0.0, 5.0, 12.0, 6.0, 1.0, 5.0, 15.0, 6.0, 4.0, 5.0, 17.0, 6.0, 5.0, 6.0, 18.0, 10.0, 6.0, 6.0, 22.0, 21.0, 11.0, 12.0, 28.0, 21.0, 19.0, 13.0, 28.0, 22.0, 26.0, 14.0, 29.0, 22.0, 33.0, 18.0, 30.0, 24.0, 37.0, 19.0, 31.0, 27.0, 39.0, 23.0, 35.0, 37.0, 37.0, 27.0]"
900266678,Wonders7,18,GAME_OVER,72,0,4,5,SimultaneousOSLAPlayer,23.0,29.0,20.0,26.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,10,62,0,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheTempleOfArtemisInEphesus,TheStatueOfZeusInOlympia,11,6,13,14,4,9,5,7,0,4,2,6,0,1,0,27,2,1,5,1,3,2,1,35,1,0,2,1,67,"[4.0, 1.0, 4.0, 1.0, 7.0, 1.0, 4.0, 0.0, 10.0, 0.0, 3.0, 1.0, 10.0, 0.0, 3.0, 1.0, 10.0, 1.0, 3.0, 1.0, 10.0, 2.0, 3.0, 2.0, 9.0, 2.0, 3.0, 3.0, 14.0, 5.0, 8.0, 3.0, 13.0, 5.0, 9.0, 1.0, 17.0, 5.0, 9.0, 1.0, 19.0, 5.0, 9.0, 1.0, 19.0, 6.0, 9.0, 2.0, 22.0, 8.0, 9.0, 7.0, 23.0, 8.0, 17.0, 8.0, 30.0, 16.0, 18.0, 9.0, 28.0, 17.0, 20.0, 12.0, 29.0, 18.0, 22.0, 16.0, 31.0, 18.0, 21.0, 16.0, 29.0, 23.0, 26.0, 20.0]"
1262219510,Wonders7,18,GAME_OVER,72,0,4,6,SimultaneousOSLAPlayer,34.0,36.0,25.0,31.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,6,63,3,TheHangingGardensOfBabylon,TheTempleOfArtemisInEphesus,TheLighthouseOfAlexandria,ThePyramidsOfGiza,13,6,13,14,6,7,4,6,0,4,2,6,0,1,1,27,3,1,3,1,3,1,0,37,2,0,2,1,88,"[2.0, 1.0, 4.0, 1.0, 5.0, 1.0, 4.0, 0.0, 8.0, 0.0, 3.0, 0.0, 11.0, 0.0, 3.0, 0.0, 11.0, 0.0, 3.0, 0.0, 12.0, 0.0, 3.0, 0.0, 8.0, 3.0, 2.0, 3.0, 12.0, 4.0, 2.0, 6.0, 13.0, 4.0, 2.0, 9.0, 17.0, 4.0, 2.0, 12.0, 16.0, 4.0, 2.0, 13.0, 16.0, 4.0, 2.0, 14.0, 21.0, 6.0, 8.0, 11.0, 22.0, 12.0, 9.0, 13.0, 29.0, 12.0, 11.0, 13.0, 34.0, 18.0, 14.0, 18.0, 37.0, 24.0, 15.0, 19.0, 38.0, 30.0, 21.0, 21.0, 36.0, 34.0, 31.0, 25.0]"
-639694067,Wonders7,18,GAME_OVER,72,0,4,7,SimultaneousOSLAPlayer,28.0,41.0,20.0,37.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,8,63,1,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,TheHangingGardensOfBabylon,TheColossusOfRhodes,12,4,13,13,6,11,4,4,0,5,2,7,0,1,0,27,2,1,2,1,1,1,1,50,2,0,2,1,78,"[4.0, 1.0, 0.0, 1.0, 4.0, 0.0, 1.0, 1.0, 4.0, 0.0, 4.0, 1.0, 3.0, 0.0, 5.0, 1.0, 6.0, 0.0, 6.0, 1.0, 6.0, 0.0, 9.0, 2.0, 5.0, 3.0, 6.0, 3.0, 5.0, 4.0, 5.0, 9.0, 5.0, 8.0, 5.0, 10.0, 6.0, 8.0, 4.0, 13.0, 6.0, 12.0, 4.0, 16.0, 6.0, 12.0, 4.0, 18.0, 12.0, 15.0, 11.0, 16.0, 19.0, 24.0, 17.0, 14.0, 19.0, 25.0, 19.0, 13.0, 26.0, 29.0, 18.0, 15.0, 29.0, 29.0, 21.0, 15.0, 37.0, 30.0, 27.0, 16.0, 41.0, 28.0, 37.0, 20.0]"
-67164073,Wonders7,18,GAME_OVER,72,0,4,8,SimultaneousOSLAPlayer,31.0,27.0,26.0,31.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,12,60,0,TheStatueOfZeusInOlympia,ThePyramidsOfGiza,TheLighthouseOfAlexandria,TheColossusOfRhodes,12,5,13,12,6,8,4,5,0,7,2,2,0,1,1,27,2,1,3,1,2,2,1,45,1,0,2,0,66,"[1.0, 4.0, 1.0, 1.0, 4.0, 4.0, 0.0, 1.0, 4.0, 3.0, 3.0, 1.0, 4.0, 3.0, 3.0, 2.0, 7.0, 3.0, 3.0, 2.0, 8.0, 3.0, 3.0, 3.0, 8.0, 8.0, 3.0, 4.0, 8.0, 8.0, 3.0, 5.0, 8.0, 9.0, 4.0, 5.0, 8.0, 8.0, 4.0, 6.0, 7.0, 9.0, 5.0, 7.0, 7.0, 9.0, 9.0, 8.0, 8.0, 10.0, 11.0, 7.0, 13.0, 16.0, 12.0, 5.0, 14.0, 16.0, 21.0, 5.0, 21.0, 22.0, 23.0, 9.0, 24.0, 28.0, 30.0, 10.0, 28.0, 31.0, 32.0, 16.0, 27.0, 31.0, 31.0, 26.0]"
1079394857,Wonders7,18,GAME_OVER,72,0,4,9,SimultaneousOSLAPlayer,33.0,33.0,24.0,30.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,12,56,4,TheStatueOfZeusInOlympia,ThePyramidsOfGiza,TheMausoleumOfHalicarnassus,TheColossusOfRhodes,12,4,12,15,6,5,2,5,0,5,2,6,0,1,1,31,2,1,5,1,1,1,1,39,1,0,0,1,93,"[0.0, 4.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 0.0, 4.0, 2.0, 1.0, 0.0, 7.0, 2.0, 2.0, 0.0, 6.0, 3.0, 2.0, 0.0, 5.0, 2.0, 2.0, 5.0, 9.0, 3.0, 2.0, 4.0, 9.0, 3.0, 2.0, 7.0, 13.0, 6.0, 5.0, 12.0, 14.0, 7.0, 5.0, 14.0, 14.0, 12.0, 12.0, 16.0, 21.0, 17.0, 10.0, 15.0, 22.0, 15.0, 12.0, 21.0, 28.0, 16.0, 12.0, 28.0, 29.0, 19.0, 13.0, 29.0, 35.0, 26.0, 14.0, 33.0, 33.0, 30.0, 24.0]"
300526880,Wonders7,18,GAME_OVER,72,0,4,10,SimultaneousOSLAPlayer,25.0,33.0,31.0,29.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,9,62,1,TheMausoleumOfHalicarnassus,TheColossusOfRhodes,TheTempleOfArtemisInEphesus,TheLighthouseOfAlexandria,13,6,13,13,5,5,7,5,0,4,3,6,0,1,0,27,3,0,4,1,3,3,0,36,1,0,2,2,78,"[1.0, 1.0, 4.0, 2.0, 4.0, 4.0, 7.0, 2.0, 4.0, 3.0, 8.0, 2.0, 4.0, 4.0, 9.0, 2.0, 4.0, 4.0, 9.0, 2.0, 4.0, 4.0, 10.0, 3.0, 8.0, 4.0, 12.0, 4.0, 11.0, 5.0, 12.0, 4.0, 15.0, 9.0, 11.0, 4.0, 16.0, 11.0, 9.0, 4.0, 17.0, 11.0, 9.0, 4.0, 17.0, 11.0, 9.0, 4.0, 17.0, 10.0, 13.0, 9.0, 18.0, 17.0, 17.0, 15.0, 19.0, 18.0, 17.0, 20.0, 21.0, 17.0, 22.0, 22.0, 21.0, 25.0, 23.0, 25.0, 28.0, 25.0, 24.0, 33.0, 33.0, 25.0, 29.0, 31.0]"
-1439923723,Wonders7,18,GAME_OVER,72,0,4,11,SimultaneousOSLAPlayer,28.0,32.0,29.0,24.0,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,SimultaneousOSLAPlayer,0,8,61,3,TheMausoleumOfHalicarnassus,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheHangingGardensOfBabylon,10,6,12,14,5,8,6,5,0,5,3,6,0,1,0,24,2,1,5,1,2,2,1,29,1,0,2,2,78,"[0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 4.0, 1.0, 1.0, 0.0, 7.0, 1.0, 4.0, 0.0, 7.0, 1.0, 4.0, 1.0, 7.0, 1.0, 4.0, 1.0, 7.0, 3.0, 7.0, 0.0, 8.0, 3.0, 7.0, 0.0, 8.0, 3.0, 9.0, 0.0, 8.0, 2.0, 13.0, 0.0, 8.0, 3.0, 12.0, 0.0, 8.0, 3.0, 16.0, 2.0, 8.0, 5.0, 21.0, 8.0, 13.0, 8.0, 28.0, 10.0, 13.0, 10.0, 34.0, 14.0, 14.0, 11.0, 33.0, 15.0, 17.0, 14.0, 35.0, 15.0, 18.0, 13.0, 34.0, 18.0, 26.0, 19.0, 32.0, 28.0, 24.0, 29.0]"
