GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
-1547888771,Wonders7,18,GAME_OVER,72,0,4,2006,random,42.0,21.0,22.0,23.0,random,random,random,0,34,38,0,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,ThePyramidsOfGiza,4,2,4,12,3,4,9,5,0,6,1,5,0,0,0,9,1,1,3,1,1,2,0,112,0,0,3,4,34,"[2.0, 1.0, 0.0, 4.0, 3.0, 2.0, 1.0, 5.0, 3.0, 2.0, 2.0, 5.0, 4.0, 2.0, 3.0, 5.0, 5.0, 4.0, 4.0, 5.0, 6.0, 4.0, 4.0, 5.0, 6.0, 6.0, 4.0, 5.0, 7.0, 7.0, 3.0, 6.0, 8.0, 8.0, 3.0, 6.0, 9.0, 10.0, 10.0, 7.0, 9.0, 11.0, 11.0, 7.0, 10.0, 12.0, 12.0, 6.0, 10.0, 19.0, 12.0, 7.0, 14.0, 21.0, 13.0, 10.0, 16.0, 29.0, 20.0, 12.0, 20.0, 31.0, 21.0, 14.0, 20.0, 35.0, 23.0, 16.0, 23.0, 37.0, 23.0, 17.0, 21.0, 42.0, 23.0, 22.0]"
1410071982,Wonders7,18,GAME_OVER,72,0,4,2007,random,34.0,19.0,30.0,26.0,random,random,random,0,33,37,2,TheHangingGardensOfBabylon,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,6,4,5,9,2,6,5,6,0,2,2,6,0,0,0,12,2,0,3,0,1,2,1,117,0,0,1,2,57,"[4.0, 4.0, 2.0, 1.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 3.0, 4.0, 6.0, 5.0, 3.0, 5.0, 7.0, 6.0, 4.0, 6.0, 8.0, 6.0, 5.0, 7.0, 8.0, 8.0, 3.0, 8.0, 9.0, 8.0, 6.0, 6.0, 9.0, 11.0, 6.0, 7.0, 9.0, 12.0, 6.0, 8.0, 9.0, 13.0, 7.0, 10.0, 8.0, 14.0, 8.0, 11.0, 7.0, 23.0, 12.0, 17.0, 12.0, 24.0, 13.0, 19.0, 13.0, 25.0, 14.0, 20.0, 14.0, 26.0, 14.0, 22.0, 19.0, 26.0, 15.0, 25.0, 21.0, 30.0, 16.0, 26.0, 19.0, 34.0, 26.0, 30.0]"
207852801,Wonders7,18,GAME_OVER,72,0,4,2008,random,20.0,21.0,32.0,19.0,random,random,random,0,47,25,0,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,5,2,2,7,1,5,3,1,0,4,1,1,0,0,0,5,2,1,5,0,1,0,1,158,0,0,2,1,34,"[2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 4.0, 2.0, 4.0, 2.0, 4.0, 3.0, 7.0, 4.0, 4.0, 4.0, 7.0, 6.0, 4.0, 5.0, 8.0, 7.0, 5.0, 5.0, 10.0, 8.0, 4.0, 6.0, 11.0, 9.0, 5.0, 7.0, 12.0, 10.0, 5.0, 8.0, 13.0, 11.0, 8.0, 8.0, 13.0, 12.0, 8.0, 9.0, 14.0, 13.0, 9.0, 9.0, 15.0, 13.0, 16.0, 10.0, 17.0, 15.0, 17.0, 14.0, 18.0, 16.0, 17.0, 19.0, 20.0, 17.0, 20.0, 20.0, 21.0, 18.0, 21.0, 22.0, 20.0, 20.0, 22.0, 21.0, 20.0, 19.0, 32.0]"
-1904150696,Wonders7,18,GAME_OVER,72,0,4,2009,random,17.0,14.0,28.0,32.0,random,random,random,0,55,17,0,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheColossusOfRhodes,TheHangingGardensOfBabylon,3,1,3,5,1,4,0,5,0,1,0,4,0,0,0,4,1,0,0,1,0,0,0,180,0,0,0,0,30,"[1.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 1.0, 3.0, 6.0, 3.0, 4.0, 4.0, 7.0, 3.0, 4.0, 5.0, 8.0, 4.0, 4.0, 6.0, 9.0, 4.0, 5.0, 6.0, 9.0, 6.0, 7.0, 7.0, 10.0, 7.0, 8.0, 8.0, 11.0, 8.0, 9.0, 9.0, 12.0, 9.0, 10.0, 10.0, 13.0, 8.0, 10.0, 11.0, 12.0, 9.0, 11.0, 11.0, 13.0, 16.0, 14.0, 11.0, 14.0, 18.0, 20.0, 12.0, 15.0, 19.0, 21.0, 13.0, 16.0, 20.0, 22.0, 14.0, 17.0, 21.0, 23.0, 15.0, 18.0, 22.0, 24.0, 14.0, 17.0, 32.0, 28.0]"
-644544067,Wonders7,18,GAME_OVER,72,0,4,2010,random,12.0,18.0,26.0,31.0,random,random,random,0,46,26,0,TheColossusOfRhodes,ThePyramidsOfGiza,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,3,4,2,5,2,7,3,4,0,3,1,1,0,0,0,3,2,0,2,1,2,0,1,154,0,0,2,1,28,"[4.0, 2.0, 2.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.0, 4.0, 6.0, 6.0, 4.0, 5.0, 6.0, 7.0, 4.0, 4.0, 6.0, 8.0, 5.0, 5.0, 6.0, 8.0, 5.0, 5.0, 9.0, 9.0, 6.0, 6.0, 10.0, 10.0, 7.0, 7.0, 11.0, 9.0, 8.0, 7.0, 12.0, 12.0, 11.0, 8.0, 12.0, 12.0, 11.0, 8.0, 13.0, 13.0, 9.0, 15.0, 16.0, 14.0, 10.0, 16.0, 17.0, 17.0, 11.0, 17.0, 18.0, 19.0, 9.0, 19.0, 20.0, 18.0, 12.0, 20.0, 21.0, 19.0, 13.0, 21.0, 22.0, 18.0, 12.0, 31.0, 26.0]"
-1811427919,Wonders7,18,GAME_OVER,72,0,4,2011,random,19.0,20.0,29.0,34.0,random,random,random,0,42,29,1,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,4,3,4,7,4,5,2,5,0,1,1,3,0,1,0,7,2,0,3,0,2,1,0,142,1,0,0,1,40,"[2.0, 2.0, 1.0, 2.0, 3.0, 3.0, 1.0, 3.0, 4.0, 4.0, 1.0, 4.0, 5.0, 5.0, 2.0, 4.0, 4.0, 8.0, 3.0, 7.0, 5.0, 9.0, 3.0, 7.0, 6.0, 9.0, 4.0, 7.0, 6.0, 10.0, 4.0, 7.0, 8.0, 11.0, 5.0, 9.0, 11.0, 9.0, 7.0, 9.0, 12.0, 10.0, 7.0, 13.0, 13.0, 11.0, 8.0, 14.0, 14.0, 15.0, 11.0, 18.0, 15.0, 16.0, 12.0, 19.0, 18.0, 15.0, 14.0, 20.0, 20.0, 13.0, 18.0, 20.0, 21.0, 14.0, 17.0, 22.0, 22.0, 15.0, 24.0, 25.0, 20.0, 19.0, 34.0, 29.0]"
32818310,Wonders7,18,GAME_OVER,72,0,4,2012,random,36.0,30.0,42.0,12.0,random,random,random,0,38,33,1,TheMausoleumOfHalicarnassus,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheStatueOfZeusInOlympia,7,3,3,9,1,5,5,5,0,4,2,3,0,1,0,5,2,0,2,1,1,1,0,127,0,0,2,2,66,"[2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 1.0, 4.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 1.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 3.0, 8.0, 3.0, 5.0, 4.0, 9.0, 3.0, 8.0, 5.0, 10.0, 5.0, 8.0, 5.0, 11.0, 6.0, 9.0, 6.0, 12.0, 10.0, 10.0, 7.0, 14.0, 15.0, 21.0, 11.0, 22.0, 16.0, 25.0, 8.0, 24.0, 16.0, 26.0, 9.0, 26.0, 16.0, 28.0, 10.0, 32.0, 19.0, 29.0, 13.0, 36.0, 20.0, 32.0, 14.0, 38.0, 30.0, 36.0, 12.0, 42.0]"
-1889501054,Wonders7,18,GAME_OVER,72,0,4,2013,random,10.0,28.0,26.0,43.0,random,random,random,0,41,30,1,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,3,2,3,7,2,7,6,1,0,3,2,4,0,0,0,11,2,0,5,0,0,2,0,139,0,0,2,2,35,"[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 4.0, 2.0, 4.0, 3.0, 4.0, 2.0, 5.0, 4.0, 5.0, 5.0, 6.0, 5.0, 5.0, 5.0, 7.0, 5.0, 8.0, 5.0, 8.0, 6.0, 8.0, 6.0, 9.0, 7.0, 11.0, 6.0, 10.0, 6.0, 11.0, 6.0, 8.0, 8.0, 10.0, 8.0, 10.0, 9.0, 11.0, 13.0, 17.0, 8.0, 18.0, 13.0, 18.0, 9.0, 19.0, 13.0, 21.0, 8.0, 22.0, 19.0, 22.0, 10.0, 29.0, 20.0, 23.0, 11.0, 32.0, 21.0, 24.0, 12.0, 33.0, 22.0, 28.0, 10.0, 43.0, 26.0]"
1231580357,Wonders7,18,GAME_OVER,72,0,4,2014,random,17.0,15.0,19.0,37.0,random,random,random,0,49,22,1,TheHangingGardensOfBabylon,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,TheMausoleumOfHalicarnassus,4,2,3,8,0,2,3,6,0,0,1,3,0,0,0,7,2,1,5,1,0,3,0,152,1,0,0,0,33,"[2.0, 2.0, 4.0, 4.0, 2.0, 5.0, 3.0, 5.0, 3.0, 6.0, 4.0, 5.0, 4.0, 7.0, 4.0, 5.0, 4.0, 8.0, 5.0, 5.0, 5.0, 9.0, 6.0, 6.0, 6.0, 9.0, 9.0, 5.0, 7.0, 10.0, 10.0, 6.0, 8.0, 11.0, 11.0, 7.0, 8.0, 10.0, 12.0, 8.0, 7.0, 10.0, 17.0, 9.0, 7.0, 11.0, 17.0, 10.0, 10.0, 11.0, 24.0, 10.0, 11.0, 12.0, 25.0, 11.0, 12.0, 15.0, 23.0, 12.0, 13.0, 16.0, 24.0, 13.0, 15.0, 17.0, 26.0, 12.0, 16.0, 18.0, 27.0, 15.0, 15.0, 17.0, 37.0, 19.0]"
-1627391868,Wonders7,18,GAME_OVER,72,0,4,2015,random,30.0,25.0,17.0,27.0,random,random,random,0,47,25,0,TheTempleOfArtemisInEphesus,TheStatueOfZeusInOlympia,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,4,4,4,6,0,3,4,2,0,3,2,2,0,0,0,8,2,1,0,0,3,1,1,159,0,0,3,0,37,"[1.0, 2.0, 1.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 4.0, 3.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 8.0, 4.0, 4.0, 4.0, 8.0, 7.0, 4.0, 5.0, 8.0, 9.0, 4.0, 4.0, 9.0, 11.0, 5.0, 8.0, 10.0, 12.0, 5.0, 9.0, 11.0, 13.0, 6.0, 11.0, 9.0, 12.0, 8.0, 12.0, 8.0, 14.0, 9.0, 11.0, 15.0, 17.0, 10.0, 12.0, 16.0, 19.0, 14.0, 16.0, 17.0, 20.0, 16.0, 17.0, 18.0, 21.0, 17.0, 18.0, 19.0, 22.0, 18.0, 21.0, 20.0, 23.0, 19.0, 25.0, 30.0, 27.0, 17.0]"
