GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
943267460,Wonders7,18,GAME_OVER,73,0,4,5012,wonders7-4P-32,37.0,41.0,35.0,34.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,17,54,2,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,11,2,12,11,3,9,6,4,0,6,1,3,0,1,0,25,1,1,4,0,2,2,1,79,0,0,1,3,80,"[2.0, 4.0, 1.0, 1.0, 2.0, 4.0, 2.0, 1.0, 2.0, 5.0, 3.0, 2.0, 2.0, 5.0, 4.0, 2.0, 1.0, 6.0, 7.0, 1.0, 2.0, 7.0, 8.0, 1.0, 6.0, 6.0, 5.0, 1.0, 7.0, 6.0, 5.0, 1.0, 7.0, 9.0, 4.0, 2.0, 11.0, 11.0, 4.0, 4.0, 14.0, 16.0, 6.0, 4.0, 15.0, 16.0, 11.0, 5.0, 23.0, 22.0, 20.0, 8.0, 22.0, 26.0, 20.0, 13.0, 28.0, 27.0, 21.0, 12.0, 32.0, 33.0, 22.0, 12.0, 34.0, 38.0, 26.0, 16.0, 37.0, 39.0, 30.0, 25.0, 41.0, 37.0, 34.0, 35.0]"
943267460,Wonders7,18,GAME_OVER,73,0,4,5013,wonders7-4P-32,51.0,39.0,34.0,30.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,18,53,2,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,11,3,10,10,4,8,7,4,0,3,1,5,0,1,1,21,1,1,2,1,3,2,1,70,0,0,2,3,76,"[1.0, 1.0, 4.0, 0.0, 4.0, 1.0, 5.0, 3.0, 4.0, 1.0, 6.0, 3.0, 5.0, 1.0, 6.0, 4.0, 5.0, 2.0, 6.0, 7.0, 6.0, 2.0, 7.0, 7.0, 7.0, 4.0, 6.0, 7.0, 8.0, 3.0, 7.0, 8.0, 9.0, 4.0, 6.0, 12.0, 9.0, 4.0, 6.0, 13.0, 8.0, 6.0, 7.0, 15.0, 12.0, 6.0, 10.0, 15.0, 20.0, 16.0, 18.0, 14.0, 20.0, 25.0, 22.0, 17.0, 23.0, 25.0, 25.0, 25.0, 29.0, 31.0, 27.0, 24.0, 32.0, 34.0, 30.0, 25.0, 35.0, 41.0, 32.0, 30.0, 39.0, 51.0, 30.0, 34.0]"
943267460,Wonders7,18,GAME_OVER,73,0,4,5014,wonders7-4P-32,45.0,40.0,33.0,44.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,18,54,1,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,13,4,7,11,5,8,6,6,0,5,3,5,0,1,1,12,1,0,2,0,2,2,0,80,1,0,1,3,89,"[1.0, 1.0, 2.0, 1.0, 2.0, 4.0, 1.0, 2.0, 3.0, 4.0, 2.0, 2.0, 3.0, 5.0, 3.0, 2.0, 3.0, 6.0, 3.0, 2.0, 3.0, 6.0, 6.0, 5.0, 3.0, 6.0, 8.0, 2.0, 3.0, 6.0, 9.0, 3.0, 4.0, 8.0, 9.0, 7.0, 5.0, 10.0, 7.0, 11.0, 6.0, 15.0, 10.0, 12.0, 10.0, 16.0, 10.0, 12.0, 21.0, 20.0, 22.0, 15.0, 22.0, 27.0, 23.0, 19.0, 22.0, 36.0, 27.0, 26.0, 25.0, 44.0, 31.0, 30.0, 28.0, 46.0, 32.0, 33.0, 30.0, 47.0, 34.0, 35.0, 40.0, 45.0, 44.0, 33.0]"
943267460,Wonders7,18,GAME_OVER,74,0,4,5015,wonders7-4P-32,47.0,37.0,35.0,38.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,17,54,3,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,14,3,11,11,4,7,4,4,0,6,1,3,0,0,1,24,2,0,5,1,2,0,0,80,0,0,0,4,90,"[1.0, 4.0, 1.0, 2.0, 2.0, 5.0, 2.0, 2.0, 3.0, 5.0, 3.0, 2.0, 3.0, 8.0, 4.0, 2.0, 2.0, 8.0, 4.0, 3.0, 2.0, 8.0, 7.0, 4.0, 0.0, 9.0, 10.0, 6.0, 0.0, 8.0, 10.0, 7.0, 0.0, 9.0, 14.0, 10.0, 3.0, 11.0, 15.0, 11.0, 4.0, 14.0, 16.0, 10.0, 7.0, 14.0, 21.0, 14.0, 14.0, 13.0, 26.0, 16.0, 16.0, 18.0, 25.0, 21.0, 23.0, 27.0, 28.0, 22.0, 28.0, 33.0, 35.0, 21.0, 31.0, 40.0, 38.0, 24.0, 33.0, 41.0, 39.0, 25.0, 37.0, 47.0, 38.0, 35.0]"
943267460,Wonders7,18,GAME_OVER,72,0,4,5016,wonders7-4P-32,41.0,47.0,20.0,44.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,20,51,1,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,11,1,11,10,2,7,9,4,0,6,1,3,0,1,0,22,1,0,2,1,1,5,0,88,0,0,2,2,75,"[1.0, 4.0, 1.0, 1.0, 1.0, 7.0, 2.0, 1.0, 2.0, 8.0, 1.0, 2.0, 2.0, 9.0, 2.0, 3.0, 2.0, 10.0, 2.0, 4.0, 2.0, 10.0, 4.0, 7.0, 3.0, 7.0, 5.0, 11.0, 3.0, 7.0, 5.0, 10.0, 5.0, 7.0, 5.0, 11.0, 9.0, 10.0, 8.0, 12.0, 12.0, 15.0, 9.0, 13.0, 17.0, 22.0, 10.0, 13.0, 26.0, 23.0, 22.0, 13.0, 26.0, 23.0, 22.0, 14.0, 31.0, 23.0, 27.0, 15.0, 39.0, 27.0, 29.0, 16.0, 42.0, 28.0, 35.0, 21.0, 43.0, 31.0, 40.0, 22.0, 47.0, 41.0, 44.0, 20.0]"
943267460,Wonders7,18,GAME_OVER,74,0,4,5017,wonders7-4P-32,50.0,44.0,45.0,36.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,17,54,3,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,11,4,10,8,4,6,11,5,0,3,1,4,0,0,1,22,2,1,2,0,3,3,0,70,1,0,3,5,82,"[1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 3.0, 4.0, 1.0, 5.0, 4.0, 7.0, 2.0, 5.0, 5.0, 8.0, 3.0, 6.0, 5.0, 9.0, 4.0, 7.0, 5.0, 8.0, 8.0, 7.0, 4.0, 10.0, 9.0, 9.0, 3.0, 10.0, 12.0, 13.0, 6.0, 11.0, 12.0, 13.0, 8.0, 10.0, 14.0, 18.0, 9.0, 9.0, 14.0, 21.0, 10.0, 9.0, 17.0, 32.0, 11.0, 20.0, 25.0, 35.0, 19.0, 22.0, 31.0, 42.0, 25.0, 23.0, 31.0, 45.0, 25.0, 29.0, 34.0, 49.0, 25.0, 29.0, 40.0, 52.0, 32.0, 35.0, 44.0, 50.0, 36.0, 45.0]"
943267460,Wonders7,18,GAME_OVER,72,0,4,5018,wonders7-4P-32,41.0,26.0,32.0,28.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,18,54,0,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,11,3,12,11,3,9,5,4,0,5,2,3,0,1,1,26,1,0,3,1,2,2,0,85,1,0,2,1,64,"[2.0, 1.0, 2.0, 0.0, 2.0, 1.0, 3.0, 3.0, 5.0, 2.0, 3.0, 6.0, 5.0, 2.0, 4.0, 6.0, 5.0, 2.0, 4.0, 6.0, 6.0, 2.0, 5.0, 6.0, 8.0, 3.0, 5.0, 4.0, 9.0, 3.0, 5.0, 5.0, 9.0, 8.0, 4.0, 9.0, 9.0, 8.0, 4.0, 11.0, 11.0, 7.0, 6.0, 10.0, 14.0, 12.0, 10.0, 12.0, 13.0, 15.0, 9.0, 19.0, 18.0, 23.0, 8.0, 24.0, 22.0, 26.0, 12.0, 25.0, 22.0, 33.0, 15.0, 31.0, 26.0, 35.0, 22.0, 32.0, 27.0, 36.0, 23.0, 33.0, 26.0, 41.0, 28.0, 32.0]"
943267460,Wonders7,18,GAME_OVER,73,0,4,5019,wonders7-4P-32,41.0,43.0,38.0,36.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,14,57,2,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,12,3,10,13,3,7,9,4,0,6,1,4,0,1,0,21,2,0,5,1,2,2,0,73,1,0,4,3,83,"[1.0, 1.0, 2.0, 2.0, 4.0, 1.0, 2.0, 2.0, 4.0, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0, 5.0, 5.0, 2.0, 4.0, 5.0, 6.0, 2.0, 1.0, 8.0, 5.0, 7.0, 2.0, 9.0, 5.0, 7.0, 6.0, 12.0, 5.0, 7.0, 10.0, 11.0, 6.0, 8.0, 14.0, 16.0, 7.0, 8.0, 15.0, 16.0, 7.0, 8.0, 19.0, 14.0, 12.0, 12.0, 26.0, 20.0, 12.0, 18.0, 28.0, 20.0, 16.0, 25.0, 35.0, 21.0, 19.0, 33.0, 41.0, 25.0, 26.0, 37.0, 44.0, 37.0, 26.0, 39.0, 43.0, 41.0, 36.0, 38.0]"
943267460,Wonders7,18,GAME_OVER,72,0,4,5020,wonders7-4P-32,37.0,33.0,28.0,31.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,18,52,2,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,9,3,11,14,3,5,7,6,0,7,2,4,0,1,0,24,1,0,3,1,2,2,0,77,0,0,1,4,66,"[0.0, 1.0, 1.0, 4.0, 0.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 5.0, 1.0, 1.0, 7.0, 8.0, 2.0, 2.0, 7.0, 7.0, 2.0, 2.0, 8.0, 8.0, 3.0, 3.0, 9.0, 5.0, 4.0, 4.0, 10.0, 6.0, 5.0, 2.0, 12.0, 6.0, 5.0, 5.0, 12.0, 7.0, 6.0, 5.0, 15.0, 8.0, 7.0, 6.0, 14.0, 8.0, 15.0, 18.0, 14.0, 12.0, 20.0, 26.0, 15.0, 15.0, 26.0, 24.0, 20.0, 15.0, 31.0, 25.0, 22.0, 15.0, 32.0, 30.0, 25.0, 16.0, 35.0, 33.0, 27.0, 18.0, 33.0, 37.0, 31.0, 28.0]"
943267460,Wonders7,18,GAME_OVER,72,0,4,5021,wonders7-4P-32,34.0,22.0,43.0,39.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,17,54,1,TheMausoleumOfHalicarnassus,TheStatueOfZeusInOlympia,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,9,3,12,13,4,6,7,6,0,4,2,6,0,0,1,26,1,1,4,1,2,1,0,69,1,0,1,5,67,"[0.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 1.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 5.0, 3.0, 6.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 6.0, 4.0, 5.0, 5.0, 4.0, 5.0, 6.0, 4.0, 4.0, 8.0, 7.0, 4.0, 4.0, 11.0, 11.0, 5.0, 5.0, 15.0, 12.0, 7.0, 6.0, 20.0, 23.0, 8.0, 12.0, 20.0, 29.0, 9.0, 15.0, 25.0, 28.0, 8.0, 21.0, 30.0, 30.0, 11.0, 25.0, 37.0, 35.0, 12.0, 30.0, 41.0, 39.0, 22.0, 34.0, 39.0, 43.0]"
